SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
SG,USA,17.89,2025-05-08,37.62,1.45,-41.76%,3.11,21.272,18.724,"4,324",85.00%,101.02%  (  -1.55%),72.26%,"90,046",4,4,5,60,Restaurants
PINS,USA,27.34,2025-05-08,50.07,1.43,-13.43%,5.08,13.897,13.990,"29,114",68.97%,69.08%  (  -4.64%),61.28%,"501,730",9,5,5,80,Internet Content & Information
COMP,USA,7.65,2025-05-08,46.05,0.40,14.12%,0.70,17.691,15.688,897,50.91%,80.56%  (  -2.80%),57.53%,"42,717",7,4,5,68,Real Estate Services
TTD,USA,56.46,2025-05-08,54.86,2.94,-42.65%,11.46,14.376,14.613,"36,575",83.25%,84.45%  (  -0.17%),65.27%,"609,706",8,4,4,70,Software - Application
NTRA,USA,160.10,2025-05-08,60.19,6.95,11.86%,12.79,14.325,12.248,713,57.83%,68.13%  (  +1.16%),43.84%,"20,250",9,5,5,80,Diagnostics & Research
COIN,USA,196.56,2025-05-08,52.22,10.68,-12.96%,6.93,9.268,7.644,"59,581",72.87%,64.26%  (  -2.09%),12.09%,"1,078,373",7,4,4,85,Financial Data & Stock Exchanges
CLSK,USA,8.03,2025-05-08,48.48,0.66,-24.65%,4.82,7.603,8.036,"52,225",101.31%,94.31%  (  -0.04%),17.38%,"1,268,971",4,5,5,80,Capital Markets
MARA,USA,13.33,2025-05-08,49.94,1.05,-22.39%,7.02,10.597,7.202,"108,879",94.13%,88.86%  (  -2.71%),18.02%,"1,878,409",7,4,4,75,Capital Markets
TXRH,USA,171.26,2025-05-08,57.38,4.86,-3.13%,2.12,7.436,5.523,905,37.18%,35.03%  (  -0.73%),46.98%,"17,146",5,4,4,88,Restaurants
BILL,USA,46.43,2025-05-08,54.96,2.25,-25.63%,3.41,13.839,16.306,"6,736",69.15%,91.48%  (  +1.40%),74.65%,"103,276",7,4,4,80,Software - Application
GRND,USA,24.03,2025-05-08,81.26,0.80,55.33%,13.66,12.558,11.312,"1,021",37.49%,62.19%  (  +0.43%),65.91%,"24,381",10,5,5,80,Software - Application
DKNG,USA,34.67,2025-05-08,50.84,1.61,-9.52%,6.49,10.383,9.920,"44,871",54.36%,63.55%  (  +1.53%),50.09%,"702,754",9,5,5,75,Gambling
AUR,USA,7.31,2025-05-08,54.34,0.65,19.94%,-,20.103,14.023,"6,779",109.67%,98.86%  (  -1.71%),40.05%,"211,205",8,4,4,75,Information Technology Services
RUM,USA,7.60,2025-05-08,46.34,0.47,-3.28%,34.58,15.059,10.856,"5,850",77.55%,85.00%  (  -1.72%),42.86%,"175,119",4,4,4,70,Internet Content & Information
MNST,USA,60.56,2025-05-08,61.13,1.25,15.18%,7.88,6.653,5.525,"11,632",27.79%,31.35%  (  -1.37%),57.27%,"119,271",10,4,4,75,Beverages - Non-Alcoholic
AKAM,USA,82.86,2025-05-08,60.51,2.41,-10.88%,3.03,10.445,9.480,"2,630",49.75%,52.12%  (  -2.25%),71.61%,"139,366",5,4,4,78,Software - Infrastructure
TREX,USA,56.56,2025-05-08,47.24,2.56,-14.87%,5.27,10.709,10.124,"1,328",58.85%,55.43%  (  -7.30%),59.28%,"4,393",7,4,4,75,Building Products & Equipment
TKO,USA,169.68,2025-05-08,69.51,5.17,24.26%,10.37,7.966,7.117,714,43.16%,42.61%  (  -0.91%),47.88%,"47,630",10,5,5,80,Entertainment
ILMN,USA,76.35,2025-05-08,46.33,3.24,-36.08%,2.76,8.118,10.050,832,53.09%,70.71%  (  +4.97%),73.63%,"42,336",5,4,4,65,Diagnostics & Research
MCHP,USA,48.08,2025-05-08,56.66,2.54,-25.15%,5.44,7.898,6.714,"22,800",114.54%,52.84%  (  -6.47%),41.40%,"304,215",8,4,4,60,Semiconductors
BUD,USA,65.50,2025-05-08,58.09,1.12,11.48%,1.92,4.093,4.563,"8,850",24.67%,27.82%  (  +1.79%),43.38%,"188,146",10,5,4,85,Beverages - Brewers
STWD,USA,18.93,2025-05-09,48.90,0.44,-3.72%,3.13,4.401,4.226,"2,931",38.11%,25.50%  (  +0.26%),37.95%,"136,690",5,5,5,75,REIT - Mortgage
NRG,USA,118.67,2025-05-12,70.77,4.82,27.26%,0.86,8.608,7.121,"1,076",70.19%,46.01%  (  -1.67%),31.86%,"57,520",8,4,4,80,Utilities - Independent Power Producers
FOXA,USA,50.81,2025-05-12,53.07,1.54,8.83%,1.46,4.898,5.708,735,46.27%,38.12%  (  +0.65%),59.32%,"16,360",7,4,4,90,Entertainment
SRAD,Switzerland,23.27,2025-05-12,53.69,1.12,37.56%,6.05,10.847,11.818,"2,334",52.66%,57.92%  (  -0.73%),52.82%,"37,783",9,5,5,85,Software - Application
RGTI,USA,9.25,2025-05-12,50.83,0.88,57.12%,246.02,27.801,17.026,"33,621",106.07%,105.47%  (  -8.03%),6.17%,"668,026",7,5,5,60,Computer Hardware
ACHR,USA,8.56,2025-05-12,55.37,0.62,34.95%,-,9.339,14.428,"22,619",91.26%,93.69%  (  +2.77%),47.95%,"514,284",9,5,4,70,Aerospace & Defense
PBR,USA,11.32,2025-05-12,38.32,0.40,-17.01%,0.46,3.458,5.433,"8,085",48.79%,49.13%  (  +9.71%),57.42%,"1,022,084",7,5,4,78,Oil & Gas Integrated
ACHC,USA,24.16,2025-05-12,45.78,1.36,-49.18%,0.71,12.403,17.179,"1,404",60.68%,99.06%  (  -0.67%),99.10%,"18,713",4,4,4,60,Medical Care Facilities
JD,USA,33.82,2025-05-13,41.44,1.30,-5.82%,0.28,7.856,9.344,"52,920",49.04%,55.04%  (  -2.70%),46.00%,"1,214,678",6,5,5,85,Internet Retail
TME,USA,14.25,2025-05-13,60.72,0.57,17.34%,2.53,9.764,8.946,614,51.82%,55.60%  (  -1.37%),47.77%,"72,013",8,5,5,90,Internet Content & Information
LEGN,USA,31.47,2025-05-13,39.23,1.61,-24.69%,9.21,10.059,8.665,837,50.48%,72.06%  (  -4.04%),52.01%,"10,832",10,5,4,70,Biotechnology
ONON,Switzerland,48.53,2025-05-13,59.24,2.21,-2.02%,5.97,11.204,10.590,"2,843",79.17%,61.91%  (  +0.81%),50.51%,"258,895",10,5,5,88,Footwear & Accessories
VG,USA,9.00,2025-05-13,47.57,0.71,-27.48%,-,4.305,19.535,"17,910",96.20%,95.56%  (  -2.59%),57.74%,"144,615",,4,4,0,Oil & Gas Midstream
SE,USA,142.53,2025-05-13,68.29,5.72,34.18%,4.61,11.783,11.028,"12,503",66.83%,56.13%  (  -0.19%),59.16%,"314,478",8,5,5,85,Internet Retail
OKLO,USA,27.12,2025-05-13,56.07,2.49,27.84%,-,11.977,17.259,"38,504",108.59%,108.39%  (  -12.91%),30.25%,"326,972",8,4,5,70,Utilities - Regulated Electric
NXT,USA,43.77,2025-05-14,56.74,2.18,8.46%,2.30,15.801,14.565,752,52.02%,74.59%  (  -1.33%),68.25%,"62,614",9,5,4,85,Solar
CSCO,USA,59.57,2025-05-14,58.37,1.37,5.54%,4.37,5.555,5.674,"30,862",41.35%,29.33%  (  -0.51%),55.88%,"983,514",8,4,4,85,Communication Equipment
SONY,USA,25.02,2025-05-13,54.75,0.64,19.98%,1.65,2.376,7.294,"1,002",41.01%,35.93%  (  +1.36%),51.76%,"88,528",9,5,4,84,Consumer Electronics
GDS,USA,26.19,2025-05-28,53.91,1.91,15.99%,3.21,17.511,24.462,"1,074",89.02%,88.90%  (  +0.35%),49.04%,"31,317",7,5,4,78,Information Technology Services
BABA,USA,123.23,2025-05-15,53.50,4.78,22.17%,2.16,5.287,8.155,"285,010",60.02%,49.70%  (  -3.39%),45.07%,"2,519,502",8,5,5,88,Internet Retail
BEKE,USA,19.59,2025-05-15,44.09,0.91,4.18%,1.74,7.789,9.720,"19,780",50.03%,58.33%  (  -2.27%),27.73%,"494,365",8,5,5,80,Real Estate Services
WMT,USA,98.83,2025-05-15,64.61,2.35,14.10%,1.16,4.946,5.656,"93,369",37.21%,31.68%  (  -1.76%),51.49%,"1,684,518",7,5,5,88,Discount Stores
DE,USA,472.40,2025-05-15,54.13,13.69,9.94%,2.67,4.768,6.193,"1,701",41.91%,36.90%  (  +1.00%),50.48%,"66,238",10,4,4,58,Farm & Heavy Construction Machinery
BTDR,Cayman Islands,11.35,2025-05-15,60.04,1.02,-2.28%,6.25,22.849,16.275,"1,943",125.88%,121.26%  (  +12.24%),59.79%,"188,270",6,5,5,55,Software - Application
TTWO,USA,226.34,2025-05-15,56.20,8.39,24.81%,7.33,6.848,7.133,"14,106",44.36%,39.76%  (  -0.48%),63.38%,"130,852",10,5,5,80,Electronic Gaming & Multimedia
DOCS,USA,58.36,2025-05-15,53.52,2.64,15.56%,19.90,16.007,18.420,"1,669",57.38%,90.02%  (  -3.04%),85.51%,"51,382",9,4,4,88,Health Information Services
CAVA,USA,93.80,2025-05-15,55.29,5.00,-17.01%,11.26,12.480,11.806,"12,089",74.81%,69.32%  (  -1.07%),55.64%,"174,461",7,4,5,88,Restaurants
AMAT,USA,155.81,2025-05-15,58.22,6.10,-11.54%,4.58,5.272,7.456,"10,673",68.63%,46.13%  (  -0.13%),43.19%,"346,571",10,5,5,88,Semiconductor Equipment & Materials
ROST,USA,143.03,2025-05-22,62.34,3.69,-0.56%,2.23,6.860,6.292,999,30.89%,36.44%  (  -0.29%),72.91%,"48,488",8,4,5,72,Apparel Retail
FUTU,USA,101.68,2025-05-27,59.51,5.71,16.81%,6.58,8.267,12.843,"6,278",79.15%,65.09%  (  -1.58%),37.35%,"143,831",5,5,5,88,Capital Markets
BBWI,USA,30.49,2025-05-29,52.28,1.48,-7.80%,0.89,10.687,12.382,"3,704",80.00%,58.88%  (  -1.24%),65.58%,"104,138",9,5,5,68,Specialty Retail
TCOM,USA,62.12,2025-05-19,61.32,1.98,4.00%,5.48,11.323,12.758,"1,257",43.04%,45.13%  (  -0.90%),43.66%,"95,096",5,5,5,85,Travel Services
PONY,USA,14.90,2025-05-20,69.90,1.81,19.81%,53.40,0.000,48.826,"12,036",238.20%,186.36%  (  -3.25%),0.04%,"15,209",7,4,4,55,Information Technology Services
BILI,USA,17.58,2025-05-20,48.07,0.77,-5.11%,1.56,10.763,13.337,"6,059",61.17%,74.36%  (  -5.60%),32.16%,"366,002",8,5,5,85,Internet Content & Information
HD,USA,362.75,2025-05-20,53.06,8.61,-6.06%,2.26,4.271,5.582,"10,906",30.11%,30.52%  (  +0.04%),42.90%,"241,835",8,4,5,75,Home Improvement Retail
NBIS,Netherlands,27.45,2025-05-09,59.54,2.11,-24.54%,54.97,8.357,11.333,"46,750",107.35%,94.86%  (  +5.02%),26.86%,"384,544",10,5,4,70,Software - Infrastructure
TOL,USA,102.40,2025-05-20,52.89,3.62,-22.05%,0.95,5.992,8.357,674,47.03%,43.54%  (  -0.30%),49.45%,"48,218",8,4,4,70,Residential Construction
PANW,USA,188.14,2025-05-20,61.91,6.25,4.23%,14.53,9.089,9.360,"22,540",55.57%,46.00%  (  +0.11%),58.44%,"549,285",6,4,4,80,Software - Infrastructure
AKRO,USA,42.79,2025-05-09,53.81,2.38,25.12%,-,9.646,9.524,"1,994",68.89%,69.10%  (  +1.13%),15.91%,"33,859",7,5,5,0,Biotechnology
GLNG,Bermuda,38.99,2025-05-27,50.87,1.93,4.04%,15.67,9.336,13.144,"4,939",68.40%,47.33%  (  -3.70%),34.35%,"120,965",10,5,4,75,Oil & Gas Midstream
MDT,Ireland,83.16,2025-05-21,43.85,1.93,-4.33%,3.21,3.863,5.142,"2,839",28.92%,27.74%  (  -0.37%),51.09%,"221,044",9,4,4,88,Medical Devices
XPEV,USA,19.18,2025-05-21,47.56,1.06,37.47%,2.62,11.191,13.856,"7,443",76.12%,73.56%  (  -1.95%),22.95%,"544,916",8,4,4,75,Auto Manufacturers
LOW,USA,223.51,2025-05-21,49.42,6.02,-10.52%,1.50,4.057,6.255,"3,007",32.90%,33.52%  (  +1.27%),45.66%,"112,926",4,4,4,80,Home Improvement Retail
BIDU,USA,86.70,2025-05-21,46.91,3.13,-2.74%,1.31,6.253,8.881,"43,951",47.41%,46.01%  (  +0.15%),43.67%,"442,488",6,4,4,75,Internet Content & Information
ZM,USA,78.64,2025-05-21,63.52,2.08,5.46%,5.14,9.418,8.838,"3,934",39.39%,41.97%  (  +2.10%),45.88%,"257,250",7,4,4,75,Software - Application
SNOW,USA,170.56,2025-05-21,65.91,6.97,17.39%,15.71,11.778,12.782,"22,541",64.28%,62.60%  (  -0.76%),60.36%,"526,033",5,5,5,75,Software - Application
TJX,USA,128.65,2025-05-28,58.24,2.69,7.35%,2.55,4.390,6.010,"8,024",25.83%,26.58%  (  -0.70%),45.91%,"190,689",9,5,5,85,Apparel Retail
ELF,USA,66.56,2025-05-28,60.57,3.64,-38.72%,2.88,13.574,18.826,"6,669",82.87%,88.23%  (  +2.24%),78.15%,"135,875",5,5,5,80,Household & Personal Products
SNPS,USA,480.54,2025-05-28,65.50,16.86,-3.64%,12.25,8.904,10.870,913,53.37%,39.44%  (  -1.59%),37.05%,"34,198",7,5,5,80,Software - Infrastructure
WSM,USA,157.64,2025-05-28,52.94,7.36,-3.73%,2.52,10.793,15.106,"1,019",73.42%,54.08%  (  -0.31%),51.56%,"38,542",6,4,4,75,Specialty Retail
BJ,USA,119.38,2025-05-22,60.15,3.00,24.65%,0.77,8.700,10.345,817,27.48%,36.79%  (  -0.11%),66.49%,"48,932",6,4,4,82,Discount Stores
INTU,USA,641.14,2025-05-22,62.52,17.48,3.16%,10.44,5.693,6.813,"2,836",42.64%,35.66%  (  +0.07%),50.54%,"92,910",9,5,5,90,Software - Application
WDAY,USA,250.58,2025-05-22,61.63,7.54,0.98%,7.97,8.742,9.126,"1,210",44.49%,44.27%  (  -1.26%),59.80%,"69,017",5,4,4,90,Software - Application
ADSK,USA,283.36,2025-05-22,64.21,7.53,2.13%,9.87,5.815,7.351,686,40.65%,36.25%  (  -0.82%),46.88%,"43,143",10,5,5,75,Software - Application
DECK,USA,120.86,2025-05-22,59.39,5.31,-23.86%,3.73,5.583,10.002,"8,332",73.12%,64.75%  (  +0.40%),61.95%,"128,422",7,4,4,88,Footwear & Accessories
DLTR,USA,84.44,2025-06-04,64.63,3.28,12.21%,0.66,12.298,12.208,"19,591",68.91%,53.69%  (  +2.97%),45.24%,"387,221",10,4,4,65,Discount Stores
GAP,USA,23.27,2025-05-29,64.30,1.09,5.01%,0.58,7.952,12.184,"6,834",92.00%,58.03%  (  -0.97%),41.92%,"228,700",9,4,4,82,Apparel Retail
BURL,USA,245.00,2025-05-29,59.89,10.25,-5.82%,1.45,8.185,10.853,"2,030",53.06%,50.69%  (  -1.24%),65.98%,"57,214",7,5,5,70,Apparel Retail
BAH,USA,123.19,2025-05-23,68.33,3.96,-11.28%,1.32,7.476,12.174,682,26.53%,44.25%  (  +0.24%),61.29%,"27,705",10,4,4,85,Consulting Services
PDD,USA,109.39,2025-05-28,55.46,4.40,-4.69%,2.78,8.949,11.414,"26,680",51.48%,57.08%  (  +3.13%),59.56%,"1,358,232",4,4,4,79,Internet Retail
OKTA,USA,118.03,2025-05-27,69.13,4.67,32.90%,7.85,12.035,13.636,"5,965",56.40%,62.39%  (  +0.79%),68.81%,"181,423",6,4,4,75,Software - Infrastructure
LI,USA,26.29,2025-05-19,62.16,0.88,10.36%,1.09,9.984,11.032,"9,632",53.78%,60.58%  (  -0.77%),40.22%,"279,287",8,4,4,75,Auto Manufacturers
DKS,USA,188.37,2025-05-28,48.07,9.09,-11.25%,1.12,9.955,12.953,"7,534",67.44%,61.15%  (  +2.71%),67.17%,"65,393",9,4,4,88,Specialty Retail
ANF,USA,69.67,2025-05-28,41.22,3.92,-44.30%,0.67,13.229,17.150,"4,583",78.67%,81.72%  (  -1.04%),78.88%,"134,087",9,4,4,70,Apparel Retail
PSTG,USA,47.64,2025-06-04,56.94,2.21,-13.65%,4.92,14.476,17.423,695,75.73%,60.42%  (  +0.22%),56.58%,"83,147",4,4,4,75,Computer Hardware
NTNX,USA,73.70,2025-05-28,64.59,2.80,15.40%,8.48,13.097,15.119,667,67.76%,52.05%  (  -0.97%),59.85%,"112,679",7,5,5,87,Software - Infrastructure
NVDA,USA,117.06,2025-05-28,58.68,5.66,-6.38%,21.88,9.229,11.681,"2,373,755",75.74%,55.35%  (  +0.55%),38.77%,"22,068,861",7,5,5,87,Semiconductors
A,USA,107.52,2025-05-28,47.78,3.84,-19.02%,4.69,7.474,10.496,769,46.56%,37.82%  (  +0.75%),45.33%,"30,490",8,4,5,75,Diagnostics & Research
CRDO,Cayman Islands,48.43,2025-06-04,59.83,3.50,2.55%,25.11,21.846,26.017,"5,986",108.29%,86.66%  (  -7.21%),46.39%,"92,663",5,5,5,80,Semiconductors
CHWY,USA,38.35,2025-06-04,64.24,1.55,19.81%,1.34,12.474,13.070,"6,242",44.68%,55.67%  (  +0.77%),19.10%,"224,709",10,5,4,85,Internet Retail
CRM,USA,278.23,2025-06-04,59.64,8.39,-5.14%,7.04,7.799,10.375,"21,666",46.80%,45.18%  (  -0.37%),66.79%,"517,742",5,4,4,85,Software - Application
DELL,USA,95.79,2025-05-29,57.70,4.46,-13.56%,0.70,10.210,13.103,"18,940",90.61%,61.93%  (  -1.27%),57.27%,"725,320",4,5,5,78,Computer Hardware
COST,USA,1007.15,2025-05-29,60.56,24.65,7.88%,1.69,3.965,5.763,"17,194",29.65%,28.57%  (  -0.59%),45.48%,"273,986",5,4,5,85,Discount Stores
MRVL,USA,56.31,2025-05-29,43.47,3.91,-32.29%,8.43,9.547,14.262,"175,550",100.29%,69.06%  (  +1.73%),49.43%,"807,464",7,5,5,85,Semiconductors
CRWD,USA,422.52,2025-06-03,58.07,19.33,25.65%,26.49,9.624,12.380,"58,295",66.68%,54.34%  (  -0.76%),51.41%,"376,304",4,5,5,85,Software - Infrastructure
S,USA,19.03,2025-05-29,56.39,0.79,-16.46%,7.64,14.847,13.499,934,62.26%,64.04%  (  -1.32%),59.78%,"188,487",7,5,5,78,Software - Infrastructure
LULU,USA,275.69,2025-06-04,48.77,11.92,-12.07%,3.26,9.756,12.182,"7,719",70.37%,53.73%  (  +5.96%),58.42%,"179,460",9,4,4,80,Apparel Retail
ULTA,USA,392.66,2025-05-29,59.00,12.98,3.59%,1.58,7.885,9.336,"1,041",45.41%,42.08%  (  -3.34%),49.90%,"67,187",9,4,4,65,Specialty Retail
ZS,USA,233.54,2025-05-29,69.05,8.12,20.88%,14.92,10.489,9.401,"8,926",61.44%,46.12%  (  -1.50%),37.08%,"230,750",9,5,5,85,Software - Infrastructure
SIG,Bermuda,62.48,2025-06-03,62.42,2.92,-17.15%,0.40,11.456,17.431,991,67.53%,71.94%  (  -1.74%),75.88%,"22,850",4,4,4,70,Luxury Goods
HPE,USA,16.56,2025-06-03,56.59,0.68,-14.42%,0.70,9.193,11.996,"7,173",78.65%,51.47%  (  -0.71%),46.35%,"584,965",7,4,4,70,Communication Equipment
MDB,USA,174.33,2025-05-29,50.40,8.65,-30.31%,7.05,13.517,10.340,"5,101",72.01%,78.81%  (  +1.39%),79.24%,"213,351",7,5,5,70,Software - Infrastructure
IOT,USA,41.96,2025-06-05,60.24,1.96,-6.97%,19.12,16.060,17.017,"7,866",66.52%,81.71%  (  +16.12%),80.61%,"121,782",7,4,4,80,Software - Infrastructure
AVGO,USA,204.81,2025-06-05,63.38,8.88,10.37%,17.66,7.327,12.378,"120,880",77.32%,54.38%  (  +1.12%),49.23%,"2,117,763",9,5,5,88,Semiconductors
GTLB,USA,47.08,2025-06-02,51.73,2.43,-14.62%,10.25,15.728,15.363,"1,505",72.16%,64.83%  (  -4.21%),55.09%,"104,478",6,5,5,80,Software - Infrastructure
ASO,USA,38.88,2025-06-10,47.30,1.93,-23.77%,0.44,9.674,0.000,565,83.08%,55.36%  (  -2.49%),53.02%,"32,797",7,4,4,60,Specialty Retail
ADBE,USA,384.97,2025-06-12,59.19,10.75,-18.12%,7.45,7.904,0.000,"13,949",36.43%,28.60%  (  +0.04%),19.99%,"313,977",8,4,4,85,Software - Application
KR,USA,72.38,2025-06-19,60.68,1.63,19.88%,0.33,5.659,0.000,"6,587",29.07%,21.53%  (  -0.17%),18.99%,"247,344",6,4,4,80,Grocery Stores
UEC,USA,5.77,2025-06-06,66.05,0.32,-7.93%,37.01,6.243,16.954,"50,228",62.19%,70.53%  (  +3.20%),61.75%,"225,167",6,4,4,0,Uranium
ORCL,USA,149.37,2025-06-10,59.25,5.52,-6.57%,7.51,8.738,0.000,"22,127",57.29%,37.96%  (  +1.16%),40.76%,"744,899",6,4,4,90,Software - Infrastructure
RBRK,USA,75.81,2025-06-10,67.40,3.74,43.19%,16.23,19.038,0.000,"1,536",77.78%,78.61%  (  +2.72%),48.81%,"43,202",6,5,5,75,Software - Infrastructure
DRI,USA,198.00,2025-06-19,48.25,5.27,12.63%,1.97,5.712,0.000,727,30.10%,32.21%  (  -1.15%),56.53%,"32,157",7,4,4,80,Restaurants
ACN,Ireland,306.09,2025-06-20,55.12,7.88,-10.74%,2.85,6.507,0.000,"2,767",36.11%,26.28%  (  +0.36%),31.61%,"87,921",8,4,4,80,Information Technology Services
KMX,USA,65.88,2025-06-20,42.82,2.91,-15.56%,0.38,10.424,0.000,850,71.60%,45.23%  (  +0.05%),48.00%,"56,637",4,4,4,75,Auto & Truck Dealerships
10:10:25 PM,,,,,,,,,,,,,,,,,,,
