SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
BEKE,USA,19.84,2025-05-15,47.02,0.84,5.04%,1.76,7.789,7.814,"5,852",49.47%,55.57%  (  -3.97%),24.38%,"492,927",8,5,5,82,Real Estate Services
CAVA,USA,98.74,2025-05-15,60.74,4.83,-12.82%,11.85,12.480,9.915,"13,721",74.77%,63.76%  (  -4.29%),44.85%,"164,486",8,4,5,89,Restaurants
DOCS,USA,61.04,2025-05-15,59.98,2.62,19.75%,20.82,16.007,17.134,"7,098",53.70%,84.59%  (  -1.66%),78.40%,"56,783",9,4,4,88,Health Information Services
TTWO,USA,226.25,2025-05-15,55.93,7.84,23.99%,7.33,6.848,6.331,"12,586",43.82%,38.61%  (  -0.42%),59.86%,"134,559",8,5,5,80,Electronic Gaming & Multimedia
AMAT,USA,167.99,2025-05-15,68.24,6.30,-4.17%,4.94,5.272,5.566,"30,092",71.03%,41.05%  (  -4.21%),31.19%,"345,813",9,4,5,88,Semiconductor Equipment & Materials
BBWI,USA,33.43,2025-05-29,61.76,1.60,1.29%,0.97,10.687,11.210,"3,682",83.27%,54.93%  (  -4.23%),57.00%,"102,162",9,5,5,70,Specialty Retail
FUTU,USA,110.74,2025-05-27,66.91,5.74,26.23%,6.02,8.267,11.231,"10,712",80.73%,62.09%  (  -1.10%),32.94%,"138,757",6,5,5,88,Capital Markets
VIPS,USA,14.80,2025-05-28,59.83,0.59,4.09%,0.43,11.250,12.517,530,46.94%,48.97%  (  -2.87%),43.40%,"30,140",8,4,4,65,Internet Retail
TCOM,USA,65.52,2025-05-19,69.08,2.05,9.23%,5.78,11.323,11.140,"1,573",44.47%,43.08%  (  -2.64%),38.06%,"97,222",6,5,5,85,Travel Services
QFIN,USA,45.45,2025-05-19,63.02,2.28,30.11%,2.46,12.162,13.480,570,66.07%,53.57%  (  -2.48%),46.64%,"13,712",10,5,4,92,Credit Services
GDS,USA,29.13,2025-05-20,61.87,2.00,27.65%,3.57,17.511,22.813,"3,047",96.11%,88.47%  (  -0.81%),48.37%,"33,169",7,5,4,78,Information Technology Services
HD,USA,376.59,2025-05-20,62.67,8.74,-2.51%,2.35,4.271,4.933,"28,598",31.76%,27.69%  (  -3.09%),34.19%,"239,779",8,4,5,72,Home Improvement Retail
BILI,USA,18.86,2025-05-20,58.36,0.80,1.54%,1.67,10.763,13.173,"10,003",63.01%,70.06%  (  -2.29%),25.87%,"366,449",7,5,5,85,Internet Content & Information
NBIS,Netherlands,33.34,2025-05-16,70.97,2.28,-6.72%,67.52,8.357,17.051,"110,053",105.58%,92.45%  (  +1.33%),21.97%,"384,753",10,5,4,70,Software - Infrastructure
AS,Cayman Islands,30.04,2025-05-20,72.07,1.45,33.13%,3.22,14.044,14.636,767,83.55%,55.74%  (  +1.25%),52.01%,"10,899",10,5,4,70,Leisure
PONY,USA,20.07,2025-05-20,78.39,2.09,59.36%,71.93,0.000,43.351,"23,899",234.55%,174.31%  (  +1.29%),3.92%,"37,672",7,4,4,60,Information Technology Services
TOL,USA,108.51,2025-05-20,63.31,3.64,-17.13%,1.00,5.992,7.561,"5,381",48.07%,39.06%  (  -4.82%),36.53%,"48,323",8,4,4,70,Residential Construction
MOD,USA,101.43,2025-05-20,72.68,4.97,-6.69%,2.10,16.098,16.218,"1,585",86.61%,62.54%  (  -5.85%),24.05%,"12,203",9,5,5,80,Auto Parts
PANW,USA,193.50,2025-05-20,65.93,6.11,6.98%,14.95,9.089,7.972,"26,935",52.92%,41.31%  (  -3.51%),45.32%,"564,153",5,4,4,80,Software - Infrastructure
MNSO,USA,20.63,2025-05-13,66.44,0.91,7.33%,2.70,11.414,5.379,"2,745",71.66%,57.23%  (  -2.45%),26.83%,"17,562",7,4,4,82,Specialty Retail
BIDU,USA,91.27,2025-05-21,56.11,3.09,2.42%,1.38,6.253,7.614,"53,464",47.07%,44.69%  (  -1.63%),39.94%,"457,606",7,4,4,75,Internet Content & Information
GLNG,Bermuda,37.95,2025-05-27,46.93,1.87,1.16%,15.25,9.336,12.002,"4,005",67.69%,46.92%  (  -1.02%),33.72%,"125,831",10,5,4,75,Oil & Gas Midstream
MDT,Ireland,85.81,2025-05-21,54.47,1.89,-1.36%,3.32,3.863,4.452,"5,776",29.77%,24.59%  (  -2.29%),40.03%,"224,682",8,4,4,88,Medical Devices
LOW,USA,232.78,2025-05-21,59.70,6.15,-6.75%,1.56,4.057,5.326,"4,791",35.33%,30.35%  (  -2.38%),35.93%,"113,342",5,4,4,80,Home Improvement Retail
TJX,USA,131.49,2025-05-21,64.74,2.65,9.49%,2.60,4.390,4.717,"8,571",25.87%,24.90%  (  -2.55%),39.90%,"180,768",7,5,5,85,Apparel Retail
URBN,USA,57.26,2025-05-21,65.25,2.62,22.89%,0.96,10.364,10.453,"1,603",88.78%,57.55%  (  -1.98%),58.89%,"23,590",5,4,4,88,Apparel Retail
ZM,USA,82.67,2025-05-21,73.08,2.00,10.37%,5.41,9.418,8.291,"11,592",39.03%,38.46%  (  -3.55%),37.26%,"260,761",8,4,4,75,Software - Application
SNOW,USA,180.54,2025-05-21,72.85,6.84,23.67%,16.63,11.778,11.253,"46,423",63.11%,57.67%  (  -4.45%),49.80%,"511,100",4,5,5,75,Software - Application
WSM,USA,173.80,2025-05-28,65.79,7.78,6.02%,2.77,10.793,13.864,"1,855",76.32%,52.78%  (  -1.81%),48.63%,"39,221",6,4,4,85,Specialty Retail
RL,USA,264.51,2025-05-22,74.09,10.86,23.08%,2.35,8.856,10.812,807,77.11%,39.39%  (  -7.27%),27.85%,"22,620",9,5,5,90,Apparel Manufacturing
BJ,USA,111.71,2025-05-22,42.13,3.22,16.22%,0.72,8.700,9.802,"24,554",30.50%,37.47%  (  +0.10%),69.30%,"53,331",6,4,4,82,Discount Stores
WDAY,USA,266.57,2025-05-22,71.61,7.43,7.19%,8.48,8.742,8.287,"2,536",44.39%,42.61%  (  -1.16%),55.00%,"69,581",5,4,4,90,Software - Application
INTU,USA,662.30,2025-05-22,67.63,17.04,6.51%,10.79,5.693,6.009,"2,822",42.27%,32.94%  (  -2.83%),41.51%,"94,437",9,5,5,90,Software - Application
ADSK,USA,293.20,2025-05-22,69.11,7.67,5.42%,10.26,5.815,6.111,"1,384",40.12%,35.59%  (  -1.35%),44.86%,"42,913",10,5,5,75,Software - Application
ROST,USA,149.26,2025-05-22,70.40,3.74,3.76%,2.32,6.860,6.253,"1,949",31.89%,34.05%  (  +0.14%),64.64%,"49,237",7,4,5,72,Apparel Retail
BURL,USA,259.53,2025-05-29,64.69,10.98,-0.23%,1.54,8.185,8.616,"1,304",58.37%,45.12%  (  -6.82%),51.40%,"59,129",7,5,5,70,Apparel Retail
DLTR,USA,89.00,2025-06-04,71.62,3.20,18.73%,0.68,12.298,8.550,"37,360",60.39%,52.60%  (  -0.97%),43.61%,"369,140",9,4,4,65,Discount Stores
DECK,USA,126.08,2025-05-22,62.05,5.88,-20.41%,3.89,5.583,8.951,"27,902",73.15%,63.53%  (  +2.90%),59.99%,"134,313",5,4,4,88,Footwear & Accessories
BAH,USA,124.67,2025-05-23,70.79,3.62,-9.89%,1.34,7.476,10.943,700,26.16%,42.68%  (  -0.99%),57.62%,"27,937",9,4,4,85,Consulting Services
PDD,USA,116.38,2025-05-28,65.08,4.58,1.68%,2.96,8.949,9.839,"93,244",53.44%,51.21%  (  -2.65%),46.24%,"1,331,403",4,4,4,79,Internet Retail
OKTA,USA,124.17,2025-05-27,73.11,4.56,39.18%,8.26,12.035,12.524,"11,144",55.96%,58.91%  (  -2.50%),61.78%,"179,724",6,4,4,75,Software - Infrastructure
LI,USA,28.38,2025-05-19,68.99,0.96,18.56%,1.18,9.984,8.353,"12,192",56.70%,62.41%  (  +0.58%),43.96%,"278,377",10,4,4,75,Auto Manufacturers
DKS,USA,212.42,2025-05-28,64.58,10.17,0.12%,1.26,9.955,11.744,"8,355",73.47%,54.73%  (  -5.14%),54.80%,"65,301",9,4,4,87,Specialty Retail
ANF,USA,78.17,2025-05-28,58.51,4.16,-36.88%,0.75,13.229,15.863,"7,185",82.03%,77.62%  (  -3.43%),70.94%,"132,118",9,4,4,80,Apparel Retail
SQM,USA,36.03,2025-05-27,52.46,1.34,-6.26%,1.14,10.601,10.221,605,60.35%,37.17%  (  +2.49%),25.00%,"9,752",6,4,4,55,Specialty Chemicals
VEEV,USA,241.44,2025-05-28,61.91,7.32,10.15%,14.32,8.977,10.359,733,32.99%,38.64%  (  -0.47%),57.31%,"29,057",10,4,4,80,Health Information Services
NTNX,USA,76.85,2025-05-28,69.75,2.65,19.60%,8.84,13.097,13.021,"1,006",67.45%,49.47%  (  -3.82%),53.39%,"113,176",7,5,5,87,Software - Infrastructure
NVDA,USA,123.00,2025-05-28,64.43,5.36,-1.62%,22.99,9.229,9.779,"3,304,548",74.75%,49.67%  (  -3.62%),28.81%,"21,665,134",8,5,5,87,Semiconductors
SNPS,USA,505.59,2025-05-28,72.02,16.44,1.64%,12.89,8.904,9.320,"2,969",54.05%,35.82%  (  -2.97%),28.36%,"34,716",7,5,5,80,Software - Infrastructure
A,USA,115.55,2025-05-28,60.70,4.16,-12.75%,5.04,7.474,9.603,"2,642",52.02%,36.69%  (  -3.06%),42.42%,"31,419",8,4,5,75,Diagnostics & Research
CRM,USA,288.82,2025-05-28,64.74,8.55,-1.67%,7.31,7.799,8.627,"41,562",47.47%,42.45%  (  -1.85%),58.65%,"511,521",5,4,4,85,Software - Application
PVH,USA,78.94,2025-06-03,64.28,3.69,-12.53%,0.48,11.576,13.050,859,93.37%,49.85%  (  -6.18%),46.02%,"34,130",6,4,4,80,Apparel Manufacturing
CRDO,Cayman Islands,55.23,2025-06-04,68.82,3.65,16.11%,28.63,21.846,22.633,"6,050",105.80%,85.92%  (  -8.39%),45.58%,"95,136",5,5,5,80,Semiconductors
GAP,USA,24.80,2025-05-29,68.75,1.13,11.78%,0.62,7.952,12.248,"7,418",94.58%,60.71%  (  -1.22%),46.57%,"227,238",9,4,4,82,Apparel Retail
COST,USA,1016.15,2025-05-29,63.51,23.92,8.56%,1.71,3.965,4.990,"37,562",29.40%,25.57%  (  -2.19%),33.93%,"260,404",7,4,5,85,Discount Stores
ZS,USA,241.48,2025-05-29,73.29,7.85,24.52%,15.43,10.489,8.930,"22,257",61.47%,43.30%  (  -2.48%),30.18%,"230,400",8,5,5,85,Software - Infrastructure
MRVL,USA,64.50,2025-05-29,57.37,3.91,-22.35%,9.66,9.547,12.174,"92,189",101.12%,59.85%  (  -7.59%),35.98%,"882,390",6,5,5,85,Semiconductors
DELL,USA,103.42,2025-05-29,66.97,4.42,-6.36%,0.76,10.210,11.549,"56,183",91.49%,55.68%  (  -5.43%),45.33%,"731,928",5,5,5,78,Computer Hardware
NTAP,USA,98.43,2025-05-29,67.78,3.03,-13.43%,3.12,9.398,9.305,"2,909",58.54%,42.94%  (  -3.11%),50.69%,"51,392",5,4,4,68,Computer Hardware
ULTA,USA,412.38,2025-05-29,66.40,13.66,8.73%,1.65,7.885,8.817,"2,811",46.59%,41.81%  (  -1.42%),49.18%,"65,624",9,4,4,65,Specialty Retail
CRWD,USA,429.44,2025-06-03,58.32,19.06,26.81%,27.05,9.624,10.617,"39,151",67.33%,48.25%  (  -4.18%),37.02%,"390,171",6,5,5,85,Software - Infrastructure
S,USA,20.12,2025-05-29,63.69,0.79,-11.44%,8.07,14.847,11.336,"5,461",63.17%,61.30%  (  -3.19%),53.90%,"185,423",7,5,5,78,Software - Infrastructure
FIVE,USA,103.49,2025-06-04,76.63,5.86,19.71%,1.47,14.004,15.993,"14,978",130.44%,61.38%  (  -2.82%),38.94%,"81,180",4,4,4,65,Specialty Retail
LULU,USA,304.20,2025-06-04,63.39,12.64,-3.02%,3.45,9.756,11.055,"18,068",61.14%,52.38%  (  +0.01%),55.69%,"174,588",8,4,4,80,Apparel Retail
SIG,Bermuda,69.82,2025-06-03,73.73,3.18,-7.09%,0.45,11.456,14.854,"1,625",71.27%,67.63%  (  -7.73%),67.67%,"22,727",5,4,4,70,Luxury Goods
DG,USA,89.49,2025-06-03,47.03,2.86,4.61%,0.48,9.685,10.914,"13,833",33.92%,49.03%  (  +0.50%),51.27%,"230,658",7,4,4,60,Discount Stores
HPE,USA,17.74,2025-06-03,66.14,0.68,-8.10%,0.75,9.193,10.648,"31,561",79.37%,49.51%  (  -2.22%),42.60%,"579,356",7,4,4,78,Communication Equipment
OLLI,USA,113.91,2025-06-04,56.86,4.72,11.75%,3.08,9.487,12.510,"1,326",49.19%,46.63%  (  -3.08%),56.32%,"16,983",5,5,4,87,Discount Stores
BRZE,USA,36.14,2025-06-05,65.36,1.65,-3.60%,6.37,16.690,16.469,779,68.10%,64.04%  (  +0.77%),60.76%,"11,308",8,5,5,75,Software - Application
GTLB,USA,52.06,2025-06-02,63.42,2.46,-5.51%,11.33,15.728,14.242,"3,172",74.02%,69.48%  (  +1.60%),63.46%,"105,055",7,5,5,80,Software - Infrastructure
ASO,USA,46.39,2025-06-10,66.96,2.23,-8.70%,0.52,9.674,12.621,"3,036",96.85%,51.45%  (  -7.62%),46.05%,"31,774",7,4,4,60,Specialty Retail
CHWY,USA,39.48,2025-06-11,67.73,1.65,22.51%,1.38,12.474,13.629,"39,799",44.35%,53.66%  (  +0.52%),16.79%,"240,210",10,5,4,85,Internet Retail
ADBE,USA,395.94,2025-06-12,65.46,10.40,-15.37%,7.66,7.904,0.000,"25,756",36.63%,37.54%  (  +1.33%),52.80%,"317,300",8,4,4,85,Software - Application
KR,USA,69.04,2025-06-19,44.54,1.74,13.88%,0.31,5.659,0.000,"43,195",31.00%,20.72%  (  -2.27%),15.88%,"248,243",7,4,4,80,Grocery Stores
UEC,USA,5.53,2025-06-06,57.25,0.34,-11.72%,35.47,6.243,15.657,"5,533",62.06%,62.69%  (  -4.46%),42.68%,"239,808",7,4,4,0,Uranium
RBRK,USA,78.61,2025-06-10,71.12,3.63,46.73%,16.83,19.038,18.957,"4,144",72.14%,73.37%  (  -1.10%),41.28%,"45,539",6,5,5,75,Software - Infrastructure
ORCL,USA,157.22,2025-06-10,66.53,5.26,-1.77%,7.90,8.738,10.437,"51,241",56.27%,40.60%  (  -0.41%),46.54%,"733,859",5,4,4,90,Software - Infrastructure
CCL,Panama,22.13,2025-06-24,69.76,1.01,4.39%,1.14,7.658,0.000,"101,101",82.04%,38.56%  (  -4.00%),12.43%,"1,264,841",6,4,4,85,Travel Services
JBL,USA,161.74,2025-06-19,72.77,5.54,21.07%,0.63,9.422,0.000,645,62.73%,36.85%  (  -2.31%),31.96%,"33,677",6,4,5,70,Electronic Components
DRI,USA,203.85,2025-06-19,56.67,5.19,15.37%,2.03,5.712,0.000,"2,380",30.98%,29.78%  (  -2.06%),47.46%,"34,760",7,4,4,80,Restaurants
KMX,USA,69.06,2025-06-20,52.63,2.87,-11.26%,0.40,10.424,0.000,"2,289",72.41%,43.56%  (  -2.07%),43.84%,"56,280",5,4,4,75,Auto & Truck Dealerships
ACN,Ireland,322.09,2025-06-20,66.42,8.11,-6.00%,3.00,6.507,0.000,"5,676",38.04%,22.72%  (  -2.59%),19.48%,"88,677",9,4,4,80,Information Technology Services
FDX,USA,232.95,2025-06-24,61.84,8.01,-12.26%,0.64,9.046,0.000,"27,422",58.82%,27.71%  (  -3.91%),20.21%,"168,847",6,4,4,75,Integrated Freight & Logistics
MU,USA,92.29,2025-06-25,67.36,4.33,-3.03%,3.29,11.387,0.000,"252,660",98.72%,46.12%  (  -4.77%),18.86%,"1,970,978",8,5,5,85,Semiconductors
NKE,USA,62.58,2025-06-26,59.06,2.37,-15.88%,1.93,8.788,0.000,"231,399",70.29%,32.67%  (  -7.16%),29.01%,"1,846,509",8,4,4,65,Footwear & Accessories
LEVI,USA,17.74,2025-06-25,67.81,0.72,0.81%,1.11,11.877,0.000,"1,119",81.20%,30.88%  (  -4.27%),11.81%,"104,505",8,5,4,78,Apparel Manufacturing
04:49:36 PM,,,,,,,,,,,,,,,,,,,
