SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
STNE,Cayman Islands,13.30,2025-05-08,61.24,0.54,22.56%,3.83,9.617,9.027,"10,599",52.17%,46.92%  (  -8.35%),14.80%,"111,335",8,4,4,78,Software - Infrastructure
GMED,USA,70.43,2025-05-08,43.41,2.37,-8.56%,3.78,7.983,9.295,543,40.31%,44.24%  (  +5.35%),66.96%,"4,493",8,4,5,88,Medical Devices
TKO,USA,167.94,2025-05-08,67.95,5.34,23.28%,10.26,7.966,7.562,"1,051",43.17%,43.51%  (  -0.28%),50.04%,"46,986",10,5,5,80,Entertainment
MNST,USA,60.02,2025-05-08,58.70,1.28,14.26%,7.81,6.653,5.908,"19,491",27.71%,32.72%  (  +1.77%),60.44%,"100,920",10,4,4,75,Beverages - Non-Alcoholic
COIN,USA,196.89,2025-05-08,52.47,10.99,-12.93%,6.94,9.268,7.796,"55,564",72.90%,66.34%  (  +2.20%),17.81%,"1,068,836",8,4,4,80,Financial Data & Stock Exchanges
TREX,USA,58.07,2025-05-08,51.50,2.57,-12.75%,5.41,10.709,10.384,638,58.47%,62.73%  (  +5.93%),75.67%,"3,913",7,4,4,70,Building Products & Equipment
AKAM,USA,82.87,2025-05-08,60.54,2.50,-10.93%,3.03,10.445,9.786,"1,088",49.86%,54.37%  (  +0.94%),76.56%,"138,912",5,4,4,78,Software - Infrastructure
SG,USA,17.93,2025-05-08,37.76,1.51,-41.69%,3.12,21.272,18.547,"7,511",84.95%,102.57%  (  +4.33%),74.78%,"84,441",7,4,5,60,Restaurants
BILL,USA,45.07,2025-05-08,50.22,2.25,-27.85%,3.31,13.839,16.826,"3,901",68.51%,90.08%  (  -5.60%),72.77%,"101,610",6,4,4,80,Software - Application
TOST,USA,35.20,2025-05-08,51.02,1.66,5.98%,4.10,13.386,12.181,"10,219",60.85%,67.43%  (  +0.53%),52.97%,"284,416",10,4,4,90,Software - Infrastructure
DKNG,USA,33.58,2025-05-08,44.80,1.64,-12.39%,6.29,10.383,10.659,"30,522",54.18%,62.01%  (  -1.17%),47.37%,"684,616",10,5,5,72,Gambling
AFRM,USA,51.00,2025-05-08,57.81,3.42,2.38%,5.88,14.975,14.162,"51,570",101.78%,89.56%  (  +0.02%),43.05%,"418,068",10,5,4,60,Software - Infrastructure
ILMN,USA,74.53,2025-05-08,41.61,3.28,-37.70%,2.70,8.118,12.045,"2,147",52.39%,65.73%  (  +6.27%),63.86%,"40,668",5,4,4,65,Diagnostics & Research
GRND,USA,23.36,2025-05-08,78.93,0.78,51.60%,13.28,12.558,12.099,"1,945",37.15%,61.76%  (  +1.57%),65.30%,"23,441",10,5,5,80,Software - Application
SOUN,USA,9.14,2025-05-08,51.58,0.72,0.21%,43.23,20.103,12.966,"29,417",97.41%,103.71%  (  -2.00%),34.64%,"584,658",6,4,4,65,Software - Application
BUD,USA,66.15,2025-05-08,62.55,1.12,12.63%,1.94,4.093,4.498,"32,207",24.42%,26.03%  (  -3.28%),38.00%,"195,051",10,5,4,85,Beverages - Brewers
STWD,USA,19.01,2025-05-09,50.22,0.46,-3.35%,3.15,4.401,4.078,795,38.15%,25.24%  (  -0.59%),37.04%,"136,445",5,5,5,75,REIT - Mortgage
NRG,USA,117.01,2025-05-12,69.30,4.86,25.78%,0.85,8.608,8.073,813,70.21%,47.68%  (  +1.15%),35.79%,"57,318",8,4,4,80,Utilities - Independent Power Producers
SRAD,Switzerland,23.13,2025-05-12,52.78,1.16,37.23%,6.01,10.847,10.635,"1,202",52.68%,58.65%  (  -1.09%),53.61%,"37,571",10,5,5,85,Software - Application
FOXA,USA,49.54,2025-05-12,46.47,1.56,6.27%,1.43,4.898,6.208,"1,422",46.47%,37.46%  (  -0.36%),57.60%,"16,795",7,4,4,90,Entertainment
RGTI,USA,9.78,2025-05-12,55.37,0.89,67.37%,260.25,27.801,18.088,"46,953",104.87%,113.50%  (  -0.66%),7.10%,"651,810",7,5,5,60,Computer Hardware
PBR,USA,11.30,2025-05-12,37.87,0.42,-17.25%,0.46,3.458,5.797,"15,381",49.44%,39.42%  (  -12.11%),42.51%,"1,023,600",7,5,4,78,Oil & Gas Integrated
ACHR,USA,8.53,2025-05-12,55.09,0.64,34.90%,-,9.339,14.771,"23,609",91.34%,90.92%  (  +0.17%),46.08%,"508,922",10,5,4,70,Aerospace & Defense
ACHC,USA,23.80,2025-05-12,43.77,1.41,-50.15%,0.70,12.403,19.362,"1,021",60.36%,99.73%  (  +10.38%),100.00%,"18,835",4,4,4,60,Medical Care Facilities
CRSP,Switzerland,33.16,2025-05-14,35.45,2.25,-26.27%,76.76,7.510,11.009,"11,644",75.55%,70.93%  (  +5.39%),70.63%,"125,525",8,4,4,,Biotechnology
PCVX,USA,29.24,2025-05-14,30.93,3.37,-64.94%,-,10.630,14.948,788,195.84%,88.43%  (  +13.33%),55.33%,"11,901",4,5,5,60,Biotechnology
ONON,Switzerland,48.20,2025-05-13,58.33,2.27,-2.60%,5.93,11.204,10.923,"4,964",79.17%,61.10%  (  +2.16%),49.10%,"256,671",10,5,5,88,Footwear & Accessories
JD,USA,34.06,2025-05-13,42.46,1.35,-5.05%,0.28,7.856,9.924,"53,080",49.33%,57.74%  (  +2.83%),51.84%,"1,196,511",6,5,5,85,Internet Retail
SE,USA,142.47,2025-05-13,68.24,5.86,34.59%,4.61,11.783,11.446,"6,304",66.83%,56.32%  (  -4.21%),59.59%,"311,203",8,5,5,85,Internet Retail
TME,USA,14.41,2025-05-13,63.18,0.58,18.66%,2.56,9.764,9.715,"3,087",51.74%,56.97%  (  -4.33%),50.96%,"69,891",8,5,5,90,Internet Content & Information
VG,USA,8.70,2025-05-13,43.91,0.73,-30.16%,-,4.305,19.828,"2,161",95.38%,98.15%  (  +3.82%),61.13%,"143,397",,4,4,0,Oil & Gas Midstream
EXEL,USA,36.86,2025-05-13,47.61,1.33,14.60%,4.68,8.586,8.180,"1,488",37.51%,52.07%  (  +5.62%),62.30%,"33,792",6,4,4,88,Biotechnology
OKLO,USA,28.66,2025-05-13,61.04,2.46,35.69%,-,11.977,19.542,"62,577",109.08%,121.30%  (  +19.78%),40.35%,"304,162",8,4,5,70,Utilities - Regulated Electric
DT,USA,47.35,2025-05-14,53.90,1.62,-8.68%,8.67,11.347,9.029,"1,248",47.28%,44.16%  (  -5.87%),50.22%,"45,516",4,4,5,80,Software - Application
GLBE,Israel,36.51,2025-05-14,53.67,1.88,-13.85%,8.22,15.562,15.270,546,85.58%,76.66%  (  +1.83%),76.83%,"89,032",6,5,5,78,Internet Retail
NXT,USA,42.89,2025-05-14,54.11,2.25,6.22%,2.25,15.801,15.214,"2,295",51.64%,75.92%  (  +2.99%),71.08%,"62,394",8,5,4,85,Solar
CSCO,USA,59.22,2025-05-14,56.77,1.41,5.03%,4.35,5.555,5.741,"26,274",41.30%,29.84%  (  +0.98%),57.79%,"975,903",9,4,4,85,Communication Equipment
BOOT,USA,111.29,2025-05-13,58.92,6.20,-18.03%,1.84,10.962,10.873,"2,218",77.15%,64.34%  (  +4.29%),58.74%,"15,377",9,5,5,85,Apparel Retail
GDS,USA,28.06,2025-05-28,61.99,1.87,24.68%,3.43,17.511,25.290,576,87.94%,88.55%  (  +0.90%),48.50%,"31,139",5,5,4,78,Information Technology Services
SONY,USA,25.23,2025-05-13,57.25,0.65,21.17%,1.67,2.376,7.320,690,40.94%,34.57%  (  -3.35%),47.89%,"88,258",9,5,4,84,Consumer Electronics
BTDR,Cayman Islands,10.92,2025-05-15,57.78,1.04,-5.96%,6.01,22.849,17.171,"2,070",126.48%,109.02%  (  -4.29%),43.59%,"187,294",6,5,5,55,Software - Application
BEKE,USA,20.55,2025-05-15,50.92,0.90,9.44%,1.82,7.789,10.334,"14,707",48.26%,60.60%  (  -1.67%),30.50%,"481,477",6,5,5,80,Real Estate Services
BABA,USA,127.66,2025-05-15,60.34,4.78,26.87%,2.24,5.287,8.714,"211,636",59.33%,53.09%  (  +3.74%),51.85%,"2,471,816",8,5,5,88,Internet Retail
NTES,USA,108.97,2025-05-15,64.60,2.61,17.39%,4.74,6.111,8.265,"1,291",36.68%,45.33%  (  +0.42%),41.25%,"41,920",8,5,5,84,Electronic Gaming & Multimedia
WMT,USA,98.55,2025-05-15,64.01,2.46,13.97%,1.16,4.946,6.022,"72,107",38.69%,33.43%  (  +1.98%),56.24%,"1,672,418",7,5,5,88,Discount Stores
DE,USA,475.30,2025-05-15,55.84,14.11,10.74%,2.68,4.768,6.376,"2,224",41.88%,35.90%  (  +0.18%),47.87%,"65,719",10,4,4,58,Farm & Heavy Construction Machinery
DOCS,USA,57.10,2025-05-15,50.26,2.73,13.41%,19.47,16.007,19.995,"2,294",56.85%,93.07%  (  +3.34%),89.50%,"49,988",9,4,4,88,Health Information Services
TTWO,USA,231.84,2025-05-15,61.18,8.45,28.11%,7.51,6.848,7.204,"12,430",44.03%,40.24%  (  +1.11%),64.87%,"128,167",10,5,5,80,Electronic Gaming & Multimedia
AMAT,USA,153.03,2025-05-15,55.57,6.20,-13.25%,4.50,5.272,7.810,"8,692",68.47%,46.26%  (  -1.78%),43.50%,"346,038",9,5,5,80,Semiconductor Equipment & Materials
CAVA,USA,93.32,2025-05-15,54.65,5.19,-17.38%,11.20,12.480,12.162,"16,071",74.80%,70.39%  (  +2.05%),57.73%,"170,646",9,4,5,88,Restaurants
FUTU,USA,102.86,2025-05-27,61.17,5.84,18.44%,6.66,8.267,13.652,"8,517",79.11%,66.67%  (  +1.12%),39.67%,"140,874",5,5,5,88,Capital Markets
BBWI,USA,29.87,2025-05-29,49.73,1.52,-9.77%,0.87,10.687,12.558,779,79.73%,60.12%  (  -1.28%),68.26%,"103,951",9,5,5,68,Specialty Retail
ROST,USA,141.61,2025-05-22,59.79,3.71,-1.55%,2.20,6.860,6.675,584,31.02%,36.73%  (  +2.28%),73.92%,"48,428",8,4,5,72,Apparel Retail
TCOM,USA,61.22,2025-05-19,58.54,2.05,2.64%,5.40,11.323,12.986,"2,944",42.80%,46.03%  (  +0.89%),46.12%,"92,960",6,5,5,,Travel Services
BILI,USA,18.28,2025-05-22,54.80,0.77,-1.26%,1.62,10.763,15.311,"6,003",60.72%,79.96%  (  +7.27%),40.34%,"363,138",9,5,5,85,Internet Content & Information
HD,USA,359.38,2025-05-20,50.26,8.93,-6.93%,2.24,4.271,5.810,"14,216",30.07%,30.49%  (  +0.56%),42.79%,"235,080",8,4,5,75,Home Improvement Retail
NBIS,Netherlands,25.04,2025-05-09,53.42,2.06,-31.61%,50.14,8.357,11.873,"24,417",105.72%,89.85%  (  +3.15%),16.71%,"375,251",10,4,4,70,Software - Infrastructure
TOL,USA,101.59,2025-05-20,51.32,3.80,-22.75%,0.94,5.992,8.598,"1,600",47.00%,43.85%  (  +0.61%),50.33%,"47,585",9,4,4,70,Residential Construction
PANW,USA,188.69,2025-05-20,62.72,6.50,4.60%,14.58,9.089,9.585,"16,702",56.12%,45.89%  (  -0.62%),58.14%,"546,690",6,4,4,80,Software - Infrastructure
AKRO,USA,42.02,2025-05-09,51.52,2.43,23.16%,-,9.646,12.604,"2,051",68.66%,67.97%  (  +9.64%),15.49%,"32,109",7,5,5,0,Biotechnology
GLNG,Bermuda,40.07,2025-05-27,55.28,1.94,6.99%,16.10,9.336,13.914,"1,300",68.00%,51.03%  (  +0.48%),40.11%,"120,458",10,5,4,75,Oil & Gas Midstream
MDT,Ireland,82.32,2025-05-21,40.21,1.94,-5.27%,3.18,3.863,5.480,"11,400",28.98%,28.11%  (  +2.34%),52.40%,"216,376",9,4,4,88,Medical Devices
BIDU,USA,91.23,2025-05-21,57.01,2.95,2.32%,1.38,6.253,9.344,"23,869",45.30%,45.87%  (  +0.57%),43.25%,"435,059",6,4,4,75,Internet Content & Information
XPEV,USA,19.74,2025-05-20,50.53,1.09,42.03%,2.70,11.191,14.665,"15,997",75.88%,75.52%  (  +2.81%),26.13%,"534,176",8,4,4,75,Auto Manufacturers
LOW,USA,223.01,2025-05-21,48.79,6.23,-10.75%,1.49,4.057,6.256,"2,631",32.97%,32.25%  (  +0.35%),41.76%,"111,909",4,4,4,80,Home Improvement Retail
ZM,USA,78.05,2025-05-21,61.81,2.15,4.81%,5.11,9.418,8.785,"13,207",39.33%,39.87%  (  -3.17%),40.72%,"247,613",7,4,4,75,Software - Application
SNOW,USA,168.45,2025-05-21,64.29,7.17,16.10%,15.52,11.778,13.062,"15,768",64.21%,63.36%  (  -1.68%),61.99%,"520,690",6,5,5,75,Software - Application
MOD,USA,90.23,2025-05-20,62.00,5.18,-17.21%,1.87,16.098,19.967,559,90.66%,68.81%  (  -3.47%),35.44%,"11,121",9,5,5,80,Auto Parts
TJX,USA,128.46,2025-05-28,57.77,2.76,7.26%,2.54,4.390,5.820,"6,446",25.83%,27.28%  (  +0.66%),48.40%,"188,060",8,5,5,85,Apparel Retail
ELF,USA,67.69,2025-05-28,63.65,3.66,-38.00%,2.93,13.574,18.774,"4,839",82.71%,85.99%  (  -1.43%),74.14%,"133,947",5,5,4,80,Household & Personal Products
QFIN,USA,43.98,2025-05-19,60.93,2.27,27.67%,2.38,12.162,15.860,"1,183",67.01%,58.34%  (  -0.78%),54.42%,"12,357",10,5,4,92,Credit Services
WSM,USA,154.41,2025-05-28,49.75,7.62,-5.67%,2.47,10.793,15.283,544,73.10%,54.38%  (  +3.33%),52.26%,"38,382",6,4,4,75,Specialty Retail
SNPS,USA,473.55,2025-05-28,63.35,17.33,-5.12%,12.07,8.904,11.584,748,53.24%,41.03%  (  +1.17%),40.86%,"33,999",7,5,5,80,Software - Infrastructure
BZ,USA,16.44,2025-05-20,57.02,0.80,9.68%,6.03,12.036,17.185,807,73.88%,59.65%  (  -1.57%),53.64%,"16,692",9,5,5,80,Internet Content & Information
BJ,USA,119.83,2025-05-22,61.50,3.11,25.32%,0.77,8.700,10.516,"3,620",27.73%,36.89%  (  +0.72%),66.93%,"47,006",6,4,4,82,Discount Stores
ADSK,USA,278.64,2025-05-22,60.68,7.64,0.51%,9.71,5.815,7.295,790,40.58%,37.07%  (  +0.58%),49.42%,"42,875",10,5,5,75,Software - Application
INTU,USA,626.55,2025-05-22,57.98,17.60,0.82%,10.20,5.693,6.942,"1,543",42.23%,35.59%  (  -0.25%),50.29%,"92,231",9,5,5,90,Software - Application
WDAY,USA,247.79,2025-05-22,59.49,7.72,-0.10%,7.88,8.742,9.358,"1,143",44.50%,45.53%  (  +0.13%),63.45%,"69,199",7,4,4,90,Software - Application
GAP,USA,22.65,2025-05-29,61.38,1.12,2.22%,0.57,7.952,12.006,"1,689",91.74%,59.00%  (  -3.77%),43.61%,"228,125",9,4,4,82,Apparel Retail
BURL,USA,237.06,2025-05-29,54.40,10.31,-8.87%,1.40,8.185,11.158,"2,892",52.30%,51.93%  (  +0.40%),69.23%,"57,534",7,5,5,70,Apparel Retail
DLTR,USA,83.79,2025-06-04,63.57,3.42,11.18%,0.65,12.298,12.174,"23,771",70.16%,50.73%  (  +3.37%),40.84%,"378,952",10,4,4,65,Discount Stores
DECK,USA,117.07,2025-05-22,55.07,5.39,-26.30%,3.61,5.583,10.594,"6,295",72.57%,64.34%  (  +0.08%),61.30%,"125,935",7,4,4,88,Footwear & Accessories
