SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
BTDR,Cayman Islands,14.43,2025-05-15,72.04,1.12,23.50%,7.94,22.849,14.920,"7,175",129.14%,128.16%  (  +8.61%),68.92%,"198,175",6,5,5,55,Software - Application
DE,USA,498.57,2025-05-15,65.09,13.76,15.39%,2.82,4.768,4.795,"5,029",42.06%,32.11%  (  +0.45%),38.05%,"71,065",9,4,4,58,Farm & Heavy Construction Machinery
BIRK,Jersey,54.08,2025-05-15,67.83,1.96,4.36%,5.04,10.612,8.123,"1,279",49.34%,48.61%  (  +0.69%),44.80%,"28,183",5,5,5,88,Footwear & Accessories
DOCS,USA,60.43,2025-05-15,57.89,2.60,18.18%,20.61,16.007,16.548,"8,176",53.73%,82.38%  (  -2.21%),75.51%,"60,283",9,4,4,88,Health Information Services
CAVA,USA,99.70,2025-05-15,61.85,4.68,-12.06%,11.97,12.480,9.978,"22,526",74.78%,65.21%  (  +1.45%),47.67%,"169,450",8,4,5,89,Restaurants
AMAT,USA,173.03,2025-05-15,71.34,6.29,-1.21%,5.09,5.272,5.494,"33,430",71.35%,40.09%  (  -0.96%),28.92%,"353,024",9,4,5,88,Semiconductor Equipment & Materials
GLOB,Luxembourg,140.36,2025-05-15,70.76,5.70,-24.44%,2.56,7.135,8.838,597,69.04%,57.11%  (  +4.66%),48.90%,"4,356",4,4,5,75,Information Technology Services
TTWO,USA,226.16,2025-05-15,55.84,7.57,23.69%,7.32,6.848,6.136,"5,944",43.51%,36.72%  (  -1.89%),54.07%,"141,066",8,5,5,80,Electronic Gaming & Multimedia
BBWI,USA,33.67,2025-05-29,62.46,1.54,2.01%,0.98,10.687,10.763,"3,025",82.99%,55.88%  (  +0.95%),59.07%,"104,061",9,5,5,70,Specialty Retail
FUTU,USA,112.34,2025-05-27,68.11,5.96,27.67%,6.11,8.267,10.585,"6,576",80.68%,59.89%  (  -2.20%),29.70%,"141,036",6,5,5,88,Capital Markets
QFIN,USA,46.05,2025-05-19,64.40,2.27,31.32%,2.50,12.162,13.787,678,66.08%,49.70%  (  -3.87%),40.34%,"13,766",10,5,4,92,Credit Services
TCOM,USA,66.24,2025-05-19,70.56,2.03,10.22%,5.84,11.323,10.947,"1,460",44.40%,45.98%  (  +2.90%),45.99%,"97,390",6,5,5,85,Travel Services
NBIS,Netherlands,35.27,2025-05-16,73.65,2.34,-0.82%,71.42,8.357,17.065,"60,877",104.17%,95.19%  (  +2.74%),27.52%,"408,477",10,5,4,70,Software - Infrastructure
PONY,USA,17.95,2025-05-20,69.15,2.20,41.99%,64.33,0.000,41.520,"25,128",237.63%,168.94%  (  -5.37%),0.00%,"48,213",7,4,4,60,Information Technology Services
AS,Cayman Islands,31.20,2025-05-20,74.91,1.53,37.65%,3.34,14.044,14.992,838,84.09%,55.77%  (  +0.03%),52.05%,"10,987",10,5,4,70,Leisure
HD,USA,373.60,2025-05-20,59.74,8.69,-3.31%,2.33,4.271,4.750,"17,105",31.24%,28.36%  (  +0.67%),36.26%,"244,341",8,4,5,72,Home Improvement Retail
BILI,USA,18.40,2025-05-20,54.23,0.79,-1.04%,1.63,10.763,12.496,"8,859",63.37%,70.58%  (  +0.52%),26.63%,"371,302",8,5,5,80,Internet Content & Information
GDS,USA,27.34,2025-05-20,55.33,2.00,19.38%,3.35,17.511,22.411,"1,404",98.07%,88.07%  (  -0.40%),47.74%,"34,584",8,5,4,78,Information Technology Services
MOD,USA,104.67,2025-05-20,74.99,4.93,-3.73%,2.17,16.098,16.498,"1,126",85.97%,63.18%  (  +0.65%),25.23%,"12,610",9,5,5,80,Auto Parts
TOL,USA,109.36,2025-05-20,64.53,3.53,-16.41%,1.01,5.992,7.258,"3,303",48.10%,41.29%  (  +2.23%),42.97%,"48,726",8,4,4,72,Residential Construction
KEYS,USA,165.06,2025-05-20,73.06,4.87,6.16%,5.68,9.321,9.435,600,59.53%,36.47%  (  +0.92%),48.41%,"16,102",6,4,5,77,Scientific & Technical Instruments
PANW,USA,192.00,2025-05-20,63.52,5.93,6.06%,14.83,9.089,8.663,"34,328",52.82%,43.93%  (  +2.62%),52.66%,"570,881",5,4,4,80,Software - Infrastructure
TJX,USA,130.82,2025-05-21,62.18,2.61,8.84%,2.59,4.390,4.657,"5,398",24.80%,24.60%  (  -0.30%),38.83%,"182,405",8,5,5,85,Apparel Retail
GLNG,Bermuda,39.84,2025-05-27,54.68,1.94,6.13%,16.01,9.336,11.359,"7,363",69.09%,43.45%  (  -3.47%),28.32%,"127,674",10,5,4,75,Oil & Gas Midstream
BIDU,USA,91.09,2025-05-21,55.70,3.05,2.20%,1.38,6.253,7.157,"27,791",46.90%,41.89%  (  -2.81%),32.02%,"466,486",7,4,4,80,Internet Content & Information
MDT,Ireland,85.11,2025-05-21,51.66,1.82,-2.20%,3.29,3.863,4.441,"13,625",28.83%,23.16%  (  -1.43%),35.00%,"226,500",8,4,4,88,Medical Devices
LOW,USA,230.77,2025-05-21,57.02,6.13,-7.55%,1.54,4.057,5.096,"2,909",34.92%,29.07%  (  -1.28%),31.99%,"114,340",5,4,4,80,Home Improvement Retail
SNOW,USA,181.02,2025-05-21,73.15,6.66,23.78%,16.68,11.778,11.484,"57,378",62.20%,60.50%  (  +2.83%),55.85%,"523,011",4,5,5,75,Software - Application
ZM,USA,83.18,2025-05-21,74.08,1.94,10.87%,5.44,9.418,8.446,"12,323",38.67%,40.81%  (  +2.35%),43.03%,"263,631",8,4,4,75,Software - Application
URBN,USA,59.33,2025-05-21,68.84,2.61,27.14%,0.99,10.364,10.241,"1,168",89.16%,55.99%  (  -1.56%),55.77%,"24,880",6,4,4,88,Apparel Retail
WSM,USA,174.44,2025-05-28,66.19,7.46,6.34%,2.78,10.793,13.094,"1,778",76.27%,50.01%  (  -2.77%),42.33%,"39,458",6,4,4,85,Specialty Retail
ATAT,USA,29.62,2025-05-22,70.78,1.34,17.16%,3.34,8.915,13.271,743,54.33%,52.41%  (  -1.51%),22.54%,"17,828",10,5,4,83,Lodging
RL,USA,269.79,2025-05-22,75.81,10.69,25.22%,2.40,8.856,10.396,713,77.05%,39.65%  (  +0.27%),28.34%,"22,920",9,5,5,90,Apparel Manufacturing
BJ,USA,107.85,2025-05-22,35.78,3.35,12.09%,0.69,8.700,10.105,"15,409",31.51%,39.02%  (  +1.54%),75.64%,"55,993",5,4,4,82,Discount Stores
ADI,USA,226.68,2025-05-22,72.49,8.33,5.33%,12.04,4.697,6.220,"9,186",77.89%,36.32%  (  +0.54%),30.67%,"93,131",4,4,4,80,Semiconductors
INTU,USA,656.80,2025-05-22,64.71,16.58,5.59%,10.70,5.693,6.034,"1,695",41.92%,33.41%  (  +0.47%),43.06%,"94,824",9,5,5,90,Software - Application
ADSK,USA,297.01,2025-05-22,71.25,7.54,6.68%,10.40,5.815,6.165,"1,408",40.18%,33.58%  (  -2.01%),38.63%,"43,419",10,5,5,75,Software - Application
WDAY,USA,270.02,2025-05-22,73.34,7.23,8.48%,8.59,8.742,8.234,"1,715",43.83%,42.14%  (  -0.47%),53.66%,"70,617",5,4,4,90,Software - Application
DECK,USA,129.37,2025-05-22,64.83,5.77,-18.31%,3.99,5.583,11.148,"14,942",73.40%,60.04%  (  -3.48%),54.38%,"144,657",5,4,4,88,Footwear & Accessories
ROST,USA,149.33,2025-05-22,70.48,3.61,3.77%,2.32,6.860,6.263,986,31.71%,32.79%  (  -1.26%),60.27%,"50,140",8,4,4,72,Apparel Retail
DLTR,USA,85.71,2025-06-04,61.83,3.23,14.47%,0.65,12.298,8.967,"21,350",61.26%,50.05%  (  -2.55%),39.83%,"372,194",9,4,4,65,Discount Stores
BURL,USA,261.41,2025-05-29,65.51,10.49,0.47%,1.55,8.185,8.668,"1,559",58.38%,46.82%  (  +1.69%),55.84%,"59,799",7,5,5,70,Apparel Retail
BAH,USA,123.72,2025-05-23,67.01,3.51,-10.48%,1.33,7.476,11.122,"1,035",26.20%,42.91%  (  +0.22%),58.14%,"28,233",9,4,4,85,Consulting Services
PDD,USA,119.45,2025-05-28,68.36,4.70,4.41%,3.04,8.949,9.316,"91,438",53.74%,47.65%  (  -3.56%),38.17%,"1,363,981",4,4,4,79,Internet Retail
OKTA,USA,124.05,2025-05-27,72.83,4.44,38.81%,8.31,12.035,12.543,"10,840",55.25%,58.83%  (  -0.08%),61.62%,"182,876",5,4,4,75,Software - Infrastructure
DKS,USA,212.04,2025-05-28,64.22,9.77,-0.08%,1.26,9.955,11.100,"4,368",73.47%,54.21%  (  -0.52%),53.80%,"70,540",9,4,4,87,Specialty Retail
ANF,USA,81.41,2025-05-28,63.21,4.17,-34.08%,0.78,13.229,15.781,"7,827",82.80%,76.80%  (  -0.82%),69.34%,"134,697",9,4,4,80,Apparel Retail
A,USA,115.42,2025-05-28,60.45,4.01,-12.78%,5.04,7.474,9.224,"2,357",52.01%,36.79%  (  +0.10%),42.68%,"33,224",9,4,5,75,Diagnostics & Research
CRDO,Cayman Islands,59.07,2025-06-04,72.90,3.74,23.79%,30.62,21.846,24.211,"9,805",106.82%,91.52%  (  +5.61%),51.69%,"95,504",6,5,5,80,Semiconductors
LI,USA,27.96,2025-05-29,65.73,0.94,16.59%,1.16,9.984,11.970,"10,567",56.76%,62.64%  (  +0.22%),44.41%,"284,792",10,4,4,75,Auto Manufacturers
PAGS,Cayman Islands,9.87,2025-05-23,62.22,0.42,14.93%,0.96,11.019,12.488,841,57.29%,50.59%  (  -0.53%),34.29%,"75,900",7,4,4,88,Software - Infrastructure
LULU,USA,310.61,2025-06-04,65.80,12.28,-1.07%,3.67,9.756,11.090,"13,791",60.42%,52.46%  (  +0.08%),55.86%,"178,741",8,4,4,80,Apparel Retail
CRWD,USA,440.20,2025-06-03,61.23,19.20,29.63%,27.73,9.624,10.955,"49,978",67.27%,50.76%  (  +2.51%),42.96%,"398,154",6,5,5,85,Software - Infrastructure
S,USA,20.34,2025-05-29,65.10,0.76,-10.41%,8.16,14.847,11.056,"2,735",62.20%,61.01%  (  -0.29%),53.26%,"187,784",7,5,4,78,Software - Infrastructure
FIVE,USA,101.69,2025-06-04,73.83,5.66,17.43%,1.44,14.004,15.536,"14,627",130.67%,61.00%  (  -0.37%),38.42%,"91,604",4,4,4,65,Specialty Retail
HQY,USA,96.99,2025-06-02,65.15,3.97,6.58%,6.99,8.477,13.778,"1,551",52.16%,50.67%  (  +5.81%),67.41%,"6,919",8,5,5,75,Health Information Services
HPE,USA,17.92,2025-06-03,67.37,0.66,-7.13%,0.76,9.193,10.726,"9,634",78.97%,49.86%  (  +0.35%),43.26%,"594,102",7,4,4,78,Communication Equipment
OLLI,USA,113.94,2025-06-04,56.90,4.65,11.68%,3.08,9.487,11.936,651,48.54%,45.80%  (  -0.83%),53.85%,"17,843",6,5,4,85,Discount Stores
GTLB,USA,53.36,2025-06-02,65.91,2.41,-3.15%,11.61,15.728,15.137,"5,216",73.67%,67.01%  (  -2.47%),59.02%,"105,525",6,5,5,80,Software - Infrastructure
ASO,USA,46.54,2025-06-10,67.22,2.17,-8.35%,0.52,9.674,12.435,"1,546",96.81%,52.91%  (  +1.45%),48.64%,"33,344",6,4,4,70,Specialty Retail
CHWY,USA,39.49,2025-06-11,67.76,1.62,22.27%,1.38,12.474,13.109,"24,976",44.38%,57.22%  (  +3.57%),20.89%,"262,138",10,5,4,85,Internet Retail
ADBE,USA,397.40,2025-06-12,66.24,10.01,-14.94%,7.69,7.904,9.675,"22,453",36.59%,39.47%  (  +1.93%),59.87%,"324,236",6,4,4,85,Software - Application
KR,USA,67.49,2025-06-19,39.24,1.80,11.19%,0.30,5.659,0.000,"22,661",31.46%,23.65%  (  +2.92%),27.22%,"244,655",8,4,4,80,Grocery Stores
UEC,USA,5.63,2025-06-06,59.36,0.32,-10.14%,36.11,6.243,14.212,"4,847",61.29%,63.89%  (  +1.20%),45.59%,"240,832",6,4,4,0,Uranium
ORCL,USA,162.27,2025-06-10,70.28,5.31,1.31%,8.16,8.738,10.726,"69,547",56.71%,44.93%  (  +4.33%),56.05%,"743,184",5,4,4,90,Software - Infrastructure
RBRK,USA,83.10,2025-06-10,76.07,3.79,54.41%,17.79,19.038,18.856,"7,851",71.79%,73.79%  (  +0.42%),41.88%,"46,832",6,5,5,75,Software - Infrastructure
JBL,USA,167.01,2025-06-19,76.27,5.68,24.75%,0.65,9.422,0.000,"2,277",63.13%,38.33%  (  +1.48%),35.01%,"33,792",7,4,5,70,Electronic Components
CCL,Panama,22.74,2025-06-24,72.24,1.00,7.12%,1.16,7.658,0.000,"78,893",82.05%,38.42%  (  -0.14%),12.18%,"1,295,100",6,4,4,85,Travel Services
DRI,USA,205.00,2025-06-19,58.12,5.25,15.81%,2.04,5.712,0.000,"1,361",30.79%,30.07%  (  +0.28%),48.51%,"35,349",7,4,4,80,Restaurants
ACN,Ireland,322.53,2025-06-20,66.68,7.83,-5.86%,3.00,6.507,0.000,"4,159",37.42%,22.02%  (  -0.70%),17.09%,"90,864",9,4,4,80,Information Technology Services
FDX,USA,231.15,2025-06-24,60.03,7.77,-12.83%,0.63,9.046,0.000,"16,221",58.78%,27.93%  (  +0.22%),20.71%,"170,346",6,4,4,75,Integrated Freight & Logistics
MU,USA,96.93,2025-06-25,71.36,4.39,1.90%,3.46,11.387,0.000,"256,198",99.46%,48.31%  (  +2.19%),23.14%,"2,006,349",8,5,5,83,Semiconductors
NKE,USA,62.39,2025-06-26,58.44,2.26,-16.08%,1.92,8.788,0.000,"95,525",70.29%,31.52%  (  -1.15%),26.11%,"1,851,313",8,4,4,65,Footwear & Accessories
LEVI,USA,17.80,2025-06-25,68.21,0.70,1.14%,1.11,11.877,0.000,658,81.14%,29.85%  (  -1.03%),10.15%,"104,602",8,5,4,78,Apparel Manufacturing
06:19:36 PM,,,,,,,,,,,,,,,,,,,
