SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
PR,USA,11.88,2025-05-07,46.47,0.59,-15.47%,1.69,7.394,6.961,"1,243",84.95%,46.14%  (  -0.35%),37.83%,"119,009",6,5,5,85,Oil & Gas E&P
ARM,USA,121.95,2025-05-07,61.50,6.63,-9.36%,34.80,11.669,10.296,"45,349",92.07%,65.70%  (  +1.45%),40.62%,"750,378",8,4,5,88,Semiconductors
ADMA,USA,23.71,2025-05-07,62.20,1.42,31.85%,13.26,18.268,13.807,"6,155",72.38%,71.99%  (  +1.60%),54.91%,"90,340",10,4,4,85,Biotechnology
CORZ,USA,8.75,2025-05-07,59.29,0.69,-25.45%,5.05,11.180,12.322,"65,205",107.88%,94.11%  (  +4.60%),50.96%,"1,329,133",8,5,5,60,Software - Infrastructure
APP,USA,301.84,2025-05-07,56.99,25.47,25.92%,21.69,14.752,20.817,"26,692",123.24%,118.28%  (  -0.98%),77.87%,"348,570",10,4,5,85,Software - Application
CAR,USA,96.30,2025-05-07,68.23,5.64,12.59%,0.29,13.998,10.565,"10,806",96.20%,68.49%  (  -2.02%),38.99%,"175,450",6,4,4,56,Rental & Leasing Services
FLUT,Ireland,249.25,2025-05-07,62.20,8.23,3.62%,3.13,6.177,7.382,839,48.01%,40.99%  (  -1.23%),37.68%,"25,226",,5,5,70,Gambling
COHR,USA,70.95,2025-05-07,60.92,4.74,-14.93%,2.07,12.542,11.565,"3,237",117.66%,78.03%  (  -0.44%),54.10%,"93,987",7,5,5,70,Scientific & Technical Instruments
IONQ,USA,29.82,2025-05-07,59.51,2.49,30.71%,168.61,13.907,14.392,"21,153",112.93%,105.27%  (  +1.98%),53.60%,"375,301",7,5,5,60,Computer Hardware
CVNA,USA,259.57,2025-05-07,66.53,16.33,28.30%,2.55,14.587,14.017,"36,667",117.31%,81.04%  (  +0.51%),45.03%,"357,609",10,4,4,85,Auto & Truck Dealerships
GT,USA,11.04,2025-05-07,62.43,0.48,19.79%,0.17,11.221,11.334,"2,781",76.06%,59.53%  (  +2.77%),60.35%,"182,657",9,5,4,65,Auto Parts
HRB,USA,61.50,2025-05-07,61.06,1.78,6.49%,2.27,7.930,8.536,688,30.16%,42.28%  (  -0.54%),68.20%,"9,567",9,4,4,68,Personal Services
CDE,USA,5.45,2025-05-07,44.11,0.36,-12.32%,3.36,15.020,13.645,"1,518",74.47%,75.49%  (  +2.49%),7.77%,"217,072",10,5,5,85,Gold
CIVI,USA,27.25,2025-05-07,41.26,1.89,-43.29%,0.48,6.953,14.873,"2,932",114.11%,89.44%  (  +9.62%),72.80%,"32,364",6,4,4,75,Oil & Gas E&P
KD,USA,33.53,2025-05-07,58.76,1.42,10.04%,0.52,12.545,11.481,"6,065",58.34%,59.24%  (  +3.59%),56.74%,"38,317",8,5,5,70,Information Technology Services
ACVA,USA,15.38,2025-05-07,56.87,0.80,-17.10%,4.12,12.547,13.184,950,63.62%,68.00%  (  -0.30%),69.06%,"18,539",5,5,5,75,Auto & Truck Dealerships
SYM,USA,22.94,2025-05-07,58.18,1.41,-10.66%,1.28,20.065,16.761,"4,448",93.39%,94.09%  (  +2.26%),50.44%,"80,439",6,4,4,80,Specialty Industrial Machinery
BROS,USA,60.36,2025-05-07,49.24,3.37,21.38%,5.90,13.768,15.656,"5,506",71.30%,79.34%  (  +1.70%),65.71%,"64,417",7,5,5,82,Restaurants
RELY,USA,20.99,2025-05-07,57.06,0.79,11.97%,3.39,17.438,16.095,"3,030",45.09%,72.75%  (  -0.17%),59.45%,"20,185",9,5,5,80,Software - Infrastructure
SNDK,USA,34.61,2025-05-07,47.37,3.03,-19.28%,-,0.000,14.817,902,118.58%,83.71%  (  -2.35%),49.23%,"51,139",6,4,4,,Computer Hardware
QBTS,USA,7.28,2025-05-08,51.47,0.73,79.31%,240.21,26.210,14.405,"30,367",93.40%,110.08%  (  -1.19%),13.77%,"392,662",7,5,5,60,Computer Hardware
WBD,USA,8.37,2025-05-08,43.45,0.52,-8.90%,0.53,10.089,9.810,"46,624",94.40%,62.21%  (  -2.23%),56.73%,"907,362",8,4,4,65,Entertainment
PRMB,USA,33.23,2025-05-08,51.33,1.09,17.07%,4.44,4.102,7.047,953,34.25%,44.40%  (  +2.20%),56.93%,"73,826",8,5,5,81,Beverages - Non-Alcoholic
CROX,USA,100.79,2025-05-08,54.95,5.03,-12.38%,1.38,10.574,11.149,"4,962",72.05%,61.58%  (  -3.18%),49.56%,"74,264",8,5,4,80,Footwear & Accessories
COLD,USA,18.72,2025-05-08,38.76,0.78,-22.49%,2.00,8.035,9.488,"1,948",50.71%,39.34%  (  -5.19%),46.25%,"8,278",4,5,4,65,REIT - Industrial
TPR,USA,73.29,2025-05-08,61.92,3.04,24.47%,2.24,6.561,8.085,"14,560",60.86%,48.75%  (  -2.30%),49.41%,"204,911",10,5,4,80,Luxury Goods
MLCO,USA,5.43,2025-05-08,59.34,0.27,-8.45%,0.49,9.227,7.842,"1,698",55.44%,64.28%  (  +1.19%),6.61%,"40,514",7,4,4,68,Resorts & Casinos
PTON,USA,6.89,2025-05-08,60.42,0.47,4.28%,1.03,21.409,18.940,"25,433",86.81%,102.72%  (  +0.91%),43.02%,"456,239",6,4,4,60,Leisure
ALIT,USA,5.25,2025-05-08,47.47,0.25,-22.91%,1.20,13.185,10.966,"3,907",68.37%,58.99%  (  +0.40%),55.20%,"72,869",10,5,5,65,Software - Application
USFD,USA,68.44,2025-05-08,64.19,1.96,7.00%,0.42,5.909,6.566,"1,945",34.76%,34.75%  (  +0.26%),56.25%,"6,150",7,5,5,88,Food Distribution
COP,USA,87.61,2025-05-08,42.69,3.54,-14.96%,2.03,2.926,4.360,"12,155",64.14%,36.90%  (  +36.90%),34.60%,"372,810",10,5,5,85,Oil & Gas E&P
ALGM,USA,19.15,2025-05-08,43.05,1.49,-16.42%,4.56,11.914,10.713,"2,485",97.72%,63.37%  (  +2.59%),49.48%,"82,267",8,5,5,60,Semiconductors
INSM,USA,72.58,2025-05-08,52.09,3.01,-1.58%,36.28,10.173,9.351,"1,432",44.73%,63.92%  (  +0.37%),9.72%,"66,251",8,5,5,70,Biotechnology
LTH,USA,32.83,2025-05-08,60.46,1.47,25.42%,2.63,12.592,12.339,"1,423",55.17%,59.27%  (  -1.26%),79.85%,"17,326",7,4,4,85,Leisure
PLNT,USA,98.41,2025-05-08,55.92,3.27,7.58%,7.00,10.288,9.405,939,33.59%,48.34%  (  -0.14%),67.56%,"16,706",5,5,5,70,Leisure
PENN,USA,15.83,2025-05-08,50.95,0.87,-16.14%,0.36,10.162,8.476,"6,551",80.88%,66.95%  (  +1.79%),54.52%,"380,903",6,4,4,55,Resorts & Casinos
LNG,USA,235.51,2025-05-08,57.13,8.18,14.04%,3.33,3.478,5.415,"1,522",49.83%,33.48%  (  -2.01%),43.17%,"96,419",7,5,5,85,Oil & Gas Midstream
YETI,USA,28.46,2025-05-08,42.18,1.43,-23.76%,1.29,13.032,12.362,"1,898",68.84%,63.15%  (  -0.03%),65.75%,"28,333",7,4,4,83,Leisure
MCHP,USA,47.78,2025-05-08,56.21,2.74,-26.11%,5.40,7.898,8.238,"10,531",115.31%,55.05%  (  -3.09%),44.73%,"294,062",7,4,4,60,Semiconductors
BILL,USA,45.19,2025-05-08,50.65,2.30,-27.70%,3.32,13.839,17.278,"4,181",70.87%,95.67%  (  +6.99%),80.27%,"99,914",6,4,4,80,Software - Application
PINS,USA,27.48,2025-05-08,50.67,1.54,-13.36%,5.10,13.897,13.436,"42,222",70.89%,71.09%  (  +0.12%),63.95%,"461,891",9,5,4,80,Internet Content & Information
DKNG,USA,34.13,2025-05-08,47.54,1.69,-10.99%,3.58,10.383,10.537,"21,111",54.87%,63.19%  (  +0.10%),49.45%,"671,892",10,5,5,72,Gambling
MNST,USA,60.91,2025-05-08,64.91,1.30,16.05%,7.93,6.653,5.623,"7,528",27.37%,30.95%  (  -1.32%),56.34%,"96,294",10,4,4,75,Beverages - Non-Alcoholic
TOST,USA,35.84,2025-05-08,54.27,1.70,8.05%,4.18,13.386,11.982,"10,665",61.13%,66.89%  (  -0.77%),52.03%,"275,941",10,4,4,90,Software - Infrastructure
ILMN,USA,78.17,2025-05-08,49.74,3.25,-34.77%,2.83,8.118,9.020,"1,925",50.98%,59.47%  (  -1.25%),51.55%,"39,357",5,4,4,65,Diagnostics & Research
TTD,USA,55.50,2025-05-08,52.73,3.11,-43.86%,11.26,14.376,14.963,"47,345",85.61%,83.43%  (  +0.49%),64.07%,"562,439",8,4,4,70,Software - Application
MARA,USA,13.09,2025-05-08,48.34,1.12,-24.27%,6.90,10.597,9.675,"247,186",105.85%,88.09%  (  +0.59%),17.02%,"1,773,728",8,4,4,80,Capital Markets
SOUN,USA,9.19,2025-05-08,52.12,0.74,0.99%,43.47,20.103,13.787,"36,575",98.40%,105.71%  (  +1.93%),36.07%,"566,924",5,4,4,65,Software - Application
RUM,USA,7.78,2025-05-08,48.87,0.50,-0.86%,27.59,15.059,12.219,"3,741",78.01%,90.78%  (  +4.62%),46.43%,"172,320",5,4,4,75,Internet Content & Information
NTRA,USA,157.38,2025-05-08,58.28,7.13,10.37%,12.57,14.325,12.134,"1,075",57.34%,63.24%  (  +2.57%),37.30%,"19,262",9,5,5,80,Diagnostics & Research
OS,USA,23.10,2025-05-08,61.92,1.14,-16.27%,8.31,9.321,18.679,"2,847",74.19%,92.50%  (  -4.43%),83.04%,"10,377",7,5,5,75,Software - Infrastructure
NET,USA,124.64,2025-05-08,59.56,6.27,18.48%,25.91,12.765,12.594,"11,217",75.49%,70.93%  (  +0.62%),56.15%,"194,392",9,4,4,73,Software - Infrastructure
MCK,USA,707.00,2025-05-08,60.92,17.22,19.66%,0.26,4.935,5.597,542,25.68%,32.56%  (  +0.57%),57.17%,"20,228",10,5,5,90,Medical Distribution
MP,USA,25.20,2025-05-08,51.94,2.11,30.40%,20.20,10.093,9.564,"5,241",103.27%,73.70%  (  +2.20%),57.86%,"261,932",10,4,5,65,Other Industrial Metals & Mining
RKLB,USA,22.48,2025-05-08,58.19,1.58,33.36%,23.37,13.396,12.668,"26,865",90.75%,85.13%  (  -3.75%),39.34%,"640,286",6,4,4,75,Aerospace & Defense
FROG,Israel,34.40,2025-05-08,57.72,1.40,8.02%,9.20,15.101,12.526,515,57.16%,62.53%  (  +0.61%),57.76%,"20,088",5,5,5,78,Software - Application
CLSK,USA,8.09,2025-05-08,49.11,0.71,-24.79%,4.86,7.603,10.576,"48,375",112.25%,95.30%  (  +1.54%),18.44%,"1,233,549",5,5,5,75,Capital Markets
AUR,USA,7.78,2025-05-08,59.91,0.67,28.28%,-,20.103,16.067,"12,805",108.56%,105.90%  (  -4.27%),47.87%,"202,842",8,4,4,75,Information Technology Services
AFRM,USA,52.09,2025-05-08,60.72,3.55,4.78%,6.00,14.975,14.206,"23,034",102.67%,89.54%  (  +2.53%),43.02%,"407,432",9,4,4,60,Software - Infrastructure
GRND,USA,22.84,2025-05-08,76.86,0.77,48.79%,13.80,12.558,11.617,"1,114",38.29%,60.19%  (  -0.89%),63.04%,"23,132",10,5,5,80,Software - Application
SG,USA,19.54,2025-05-08,43.92,1.50,-36.52%,3.40,21.272,18.923,"2,620",83.82%,98.24%  (  -0.58%),67.75%,"82,697",6,4,5,60,Restaurants
COMP,USA,7.91,2025-05-08,51.24,0.43,18.57%,0.73,17.691,15.478,"1,228",51.56%,84.75%  (  +2.79%),40.84%,"42,538",8,4,5,68,Real Estate Services
TXRH,USA,171.16,2025-05-08,57.26,5.26,-3.18%,2.12,7.436,5.725,617,38.66%,34.92%  (  +0.76%),46.69%,"16,668",6,4,4,88,Restaurants
COIN,USA,199.40,2025-05-08,54.26,11.37,-11.89%,7.03,9.268,8.072,"66,358",75.34%,64.14%  (  +0.83%),11.78%,"1,051,138",7,4,4,80,Financial Data & Stock Exchanges
TKO,USA,166.83,2025-05-08,66.95,5.47,22.75%,4.85,7.966,7.734,"1,503",43.43%,43.80%  (  +1.70%),50.72%,"45,786",10,5,5,80,Entertainment
BUD,USA,65.98,2025-05-08,61.84,1.13,12.40%,1.94,4.093,4.623,"6,373",25.26%,29.31%  (  +1.89%),47.86%,"190,436",10,5,4,85,Beverages - Brewers
STWD,USA,19.15,2025-05-09,52.51,0.48,-2.66%,3.17,4.401,4.175,"1,070",38.12%,25.83%  (  +0.88%),39.10%,"136,242",5,5,5,75,REIT - Mortgage
BHVN,Virgin Islands (British),22.62,2025-05-08,49.98,2.04,-40.86%,-,11.795,13.504,899,112.37%,93.15%  (  -7.10%),34.62%,"45,681",4,5,5,0,Biotechnology
OKLO,USA,25.47,2025-05-13,53.03,2.30,21.17%,-,11.977,16.165,"18,515",110.18%,101.52%  (  -3.53%),24.87%,"298,553",8,4,5,70,Utilities - Regulated Electric
FOXA,USA,49.26,2025-05-12,44.88,1.62,5.81%,1.47,4.898,6.395,"2,110",46.41%,37.82%  (  +4.31%),58.54%,"14,974",7,4,4,90,Entertainment
NRG,USA,116.23,2025-05-12,68.61,4.91,25.23%,0.84,8.608,7.893,787,70.38%,46.53%  (  +0.07%),33.08%,"56,992",8,4,4,80,Utilities - Independent Power Producers
SRAD,Switzerland,23.77,2025-05-12,57.59,1.17,41.53%,6.14,10.847,11.263,"3,822",52.67%,59.74%  (  +1.95%),54.79%,"37,722",10,5,5,85,Software - Application
RGTI,USA,9.69,2025-05-12,54.74,0.91,67.08%,257.86,27.801,18.206,"68,692",107.03%,114.16%  (  -4.13%),7.18%,"634,302",7,5,5,60,Computer Hardware
ACHR,USA,8.69,2025-05-12,56.88,0.66,37.83%,-,9.339,15.216,"46,160",91.48%,90.75%  (  +1.91%),45.97%,"492,924",10,5,4,70,Aerospace & Defense
ACHC,USA,22.81,2025-05-12,37.88,1.39,-52.44%,0.67,12.403,16.557,"1,764",58.78%,89.34%  (  -4.44%),91.02%,"19,804",4,4,4,60,Medical Care Facilities
PBR,USA,11.20,2025-05-12,35.69,0.44,-18.08%,0.46,3.458,6.518,"41,690",49.22%,51.53%  (  +19.47%),61.10%,"995,440",8,5,4,78,Oil & Gas Integrated
CRSP,Switzerland,37.62,2025-05-14,48.19,2.07,-16.57%,87.08,7.510,10.593,"3,549",68.03%,65.54%  (  +4.91%),55.65%,"124,087",8,4,4,,Biotechnology
ONON,Switzerland,48.89,2025-05-13,60.98,2.35,-1.12%,6.01,11.204,11.153,"5,187",80.02%,58.94%  (  -1.98%),45.33%,"254,083",10,5,5,88,Footwear & Accessories
JD,USA,34.06,2025-05-13,42.46,1.43,-4.95%,0.28,7.856,9.615,"33,563",49.49%,54.91%  (  -2.11%),45.71%,"1,188,646",7,5,5,85,Internet Retail
VG,USA,8.55,2025-05-13,42.02,0.76,-31.66%,-,4.305,18.511,"1,549",95.05%,94.33%  (  -1.96%),56.13%,"142,489",,4,4,0,Oil & Gas Midstream
SE,USA,142.50,2025-05-13,68.29,6.03,35.09%,4.61,11.783,11.953,"5,938",67.14%,60.53%  (  +0.72%),68.91%,"308,313",8,5,5,85,Internet Retail
EXEL,USA,39.84,2025-05-13,68.56,1.18,24.14%,5.06,8.586,7.752,731,30.31%,46.45%  (  -3.55%),51.89%,"33,737",6,4,5,88,Biotechnology
DT,USA,47.59,2025-05-14,55.15,1.64,-8.18%,8.72,11.347,9.045,"2,844",47.59%,50.03%  (  +5.79%),62.27%,"44,556",4,4,4,80,Software - Application
GLBE,Israel,36.40,2025-05-14,53.23,1.94,-14.09%,8.19,15.562,14.709,730,86.15%,74.83%  (  +2.60%),73.67%,"89,061",6,5,5,78,Internet Retail
NXT,USA,41.12,2025-05-14,48.24,2.21,1.78%,2.13,15.801,14.774,923,50.46%,72.92%  (  +0.90%),64.69%,"61,625",9,5,4,85,Solar
CSCO,USA,59.32,2025-05-14,57.36,1.45,5.31%,4.36,5.555,5.581,"36,984",41.45%,28.86%  (  +0.26%),54.11%,"962,628",9,4,4,85,Communication Equipment
BOOT,USA,112.31,2025-05-13,60.41,6.37,-17.30%,1.86,10.962,10.156,546,79.67%,60.05%  (  -5.84%),51.01%,"15,195",9,5,5,85,Apparel Retail
SONY,USA,25.24,2025-05-13,57.36,0.69,21.41%,1.67,2.376,7.237,"2,043",40.95%,37.92%  (  -0.59%),57.44%,"86,637",8,5,4,84,Consumer Electronics
GDS,USA,27.79,2025-05-28,61.21,1.94,23.93%,3.40,17.511,25.487,"2,123",88.23%,87.65%  (  +2.01%),47.09%,"31,423",5,5,4,78,Information Technology Services
WMT,USA,99.33,2025-05-15,66.94,2.57,15.05%,1.17,4.946,5.824,"76,697",38.69%,31.45%  (  +0.48%),50.88%,"1,649,777",6,5,5,88,Discount Stores
BABA,USA,126.57,2025-05-15,59.15,4.90,26.10%,2.22,5.287,8.413,"111,646",59.25%,49.34%  (  +0.03%),44.37%,"2,444,554",8,5,5,88,Internet Retail
BEKE,USA,20.83,2025-05-15,53.15,0.92,11.12%,1.85,7.789,9.892,"5,983",48.10%,62.27%  (  +1.09%),32.54%,"477,111",6,5,5,80,Real Estate Services
NTES,USA,109.80,2025-05-15,67.40,2.73,18.39%,4.77,6.111,7.809,699,37.27%,44.91%  (  -1.40%),40.20%,"41,557",8,5,5,84,Electronic Gaming & Multimedia
DE,USA,481.34,2025-05-15,59.48,14.68,12.27%,2.72,4.768,6.303,"2,128",41.96%,35.72%  (  +0.98%),47.42%,"64,960",9,4,4,58,Farm & Heavy Construction Machinery
DOCS,USA,59.39,2025-05-15,57.01,2.73,18.30%,20.26,16.007,19.292,"4,516",58.18%,89.73%  (  -0.68%),85.13%,"47,788",9,4,4,88,Health Information Services
CAVA,USA,95.84,2025-05-15,58.77,5.19,-15.10%,11.50,12.480,12.440,"20,887",77.14%,68.34%  (  +1.56%),53.74%,"162,536",8,4,5,88,Restaurants
AMAT,USA,154.61,2025-05-15,57.50,6.47,-12.52%,4.55,5.272,7.762,"10,276",68.61%,48.04%  (  +2.11%),47.71%,"341,481",9,5,5,80,Semiconductor Equipment & Materials
TTWO,USA,225.32,2025-05-15,56.99,8.34,24.79%,7.30,6.848,7.214,"9,997",43.38%,39.13%  (  -0.50%),61.46%,"125,447",10,5,5,80,Electronic Gaming & Multimedia
ROST,USA,141.47,2025-05-22,59.54,3.85,-1.66%,2.20,6.860,6.595,771,33.17%,34.45%  (  -0.61%),66.03%,"48,196",9,4,5,72,Apparel Retail
FUTU,USA,101.17,2025-05-27,59.67,5.97,16.78%,6.55,8.267,13.458,"13,628",79.05%,65.55%  (  +1.07%),38.02%,"137,975",7,5,5,88,Capital Markets
BBWI,USA,30.32,2025-05-29,51.59,1.59,-8.53%,0.88,10.687,12.533,"1,327",82.16%,61.40%  (  +2.44%),71.03%,"103,563",9,5,5,68,Specialty Retail
HD,USA,361.73,2025-05-20,52.28,9.23,-6.33%,2.25,4.271,5.724,"27,441",31.67%,29.93%  (  +1.09%),41.08%,"223,944",8,4,5,75,Home Improvement Retail
NBIS,Netherlands,23.80,2025-05-09,49.79,2.07,-35.42%,47.66,8.357,11.876,"15,211",107.26%,86.70%  (  -2.88%),10.35%,"368,619",10,4,4,70,Software - Infrastructure
TOL,USA,103.97,2025-05-20,56.48,3.87,-21.03%,0.96,5.992,8.423,"2,432",47.98%,43.23%  (  +1.47%),48.55%,"46,481",9,4,4,70,Residential Construction
